trades,net_r,pf,win_rate,avg_r,tag,month
52,-37.3826,0.2098188712906028,0.3269,-0.7189,bos_long_rr1.0_sl0.8_h12_b0.1,2026-04
112,-44.5638,0.42716517214429683,0.4732,-0.3979,bos_long_rr1.0_sl0.8_h12_b0.1,2026-05
106,-51.0485,0.34130032813368966,0.4623,-0.4816,bos_long_rr1.0_sl0.8_h12_b0.1,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr1.0_sl0.8_h12_b0.1,2026-07
49,-35.1472,0.21070738827756566,0.3265,-0.7173,bos_long_rr1.0_sl0.8_h12_b0.2,2026-04
106,-42.1484,0.42517749937946814,0.4717,-0.3976,bos_long_rr1.0_sl0.8_h12_b0.2,2026-05
97,-47.9834,0.33287081579196165,0.4639,-0.4947,bos_long_rr1.0_sl0.8_h12_b0.2,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr1.0_sl0.8_h12_b0.2,2026-07
52,-36.6897,0.2129376179852411,0.3269,-0.7056,bos_long_rr1.0_sl0.8_h6_b0.1,2026-04
114,-43.2773,0.42746033446975257,0.4649,-0.3796,bos_long_rr1.0_sl0.8_h6_b0.1,2026-05
106,-49.2491,0.3454347057525711,0.4717,-0.4646,bos_long_rr1.0_sl0.8_h6_b0.1,2026-06
2,-0.8317,0.4335240430459065,0.5,-0.4158,bos_long_rr1.0_sl0.8_h6_b0.1,2026-07
49,-35.3624,0.1990160525677993,0.3061,-0.7217,bos_long_rr1.0_sl0.8_h6_b0.2,2026-04
108,-42.1301,0.4187853428854832,0.463,-0.3901,bos_long_rr1.0_sl0.8_h6_b0.2,2026-05
97,-46.509,0.33549743037289237,0.4742,-0.4795,bos_long_rr1.0_sl0.8_h6_b0.2,2026-06
2,-0.8377,0.429437406347909,0.5,-0.4189,bos_long_rr1.0_sl0.8_h6_b0.2,2026-07
47,-22.0502,0.35706767202292955,0.4043,-0.4692,bos_long_rr1.0_sl1.0_h12_b0.1,2026-04
102,-32.1577,0.5050590400906225,0.4608,-0.3153,bos_long_rr1.0_sl1.0_h12_b0.1,2026-05
98,-34.1852,0.468030674617501,0.4898,-0.3488,bos_long_rr1.0_sl1.0_h12_b0.1,2026-06
1,-1.3745,0.0,0.0,-1.3745,bos_long_rr1.0_sl1.0_h12_b0.1,2026-07
46,-22.8426,0.3348978730218813,0.3913,-0.4966,bos_long_rr1.0_sl1.0_h12_b0.2,2026-04
98,-32.3933,0.49093952084986686,0.4592,-0.3305,bos_long_rr1.0_sl1.0_h12_b0.2,2026-05
87,-30.8977,0.46464950991858256,0.4943,-0.3551,bos_long_rr1.0_sl1.0_h12_b0.2,2026-06
1,-1.3745,0.0,0.0,-1.3745,bos_long_rr1.0_sl1.0_h12_b0.2,2026-07
49,-21.1214,0.3639626834659327,0.3673,-0.431,bos_long_rr1.0_sl1.0_h6_b0.1,2026-04
107,-35.273,0.47055662626007916,0.4393,-0.3297,bos_long_rr1.0_sl1.0_h6_b0.1,2026-05
99,-32.7192,0.4664248777329678,0.4848,-0.3305,bos_long_rr1.0_sl1.0_h6_b0.1,2026-06
2,-0.6653,0.515969443433976,0.5,-0.3327,bos_long_rr1.0_sl1.0_h6_b0.1,2026-07
46,-21.5161,0.3336688303644427,0.3478,-0.4677,bos_long_rr1.0_sl1.0_h6_b0.2,2026-04
102,-35.0945,0.46125989763868974,0.4412,-0.3441,bos_long_rr1.0_sl1.0_h6_b0.2,2026-05
88,-32.3067,0.4302822427764013,0.4659,-0.3671,bos_long_rr1.0_sl1.0_h6_b0.2,2026-06
2,-0.6701,0.5124772644598036,0.5,-0.3351,bos_long_rr1.0_sl1.0_h6_b0.2,2026-07
46,-33.6246,0.26948462477676927,0.2609,-0.731,bos_long_rr1.5_sl0.8_h12_b0.1,2026-04
99,-50.4915,0.4183509489387438,0.3232,-0.51,bos_long_rr1.5_sl0.8_h12_b0.1,2026-05
94,-41.9289,0.47019332827899923,0.3936,-0.4461,bos_long_rr1.5_sl0.8_h12_b0.1,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr1.5_sl0.8_h12_b0.1,2026-07
43,-31.7655,0.26342577563418823,0.2558,-0.7387,bos_long_rr1.5_sl0.8_h12_b0.2,2026-04
95,-44.9395,0.4468453586928961,0.3368,-0.473,bos_long_rr1.5_sl0.8_h12_b0.2,2026-05
85,-40.4876,0.4479254730205135,0.3882,-0.4763,bos_long_rr1.5_sl0.8_h12_b0.2,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr1.5_sl0.8_h12_b0.2,2026-07
46,-33.4911,0.2565727553629777,0.2609,-0.7281,bos_long_rr1.5_sl0.8_h6_b0.1,2026-04
101,-48.3292,0.4176496176040698,0.3465,-0.4785,bos_long_rr1.5_sl0.8_h6_b0.1,2026-05
94,-36.3226,0.49983407026332566,0.4149,-0.3864,bos_long_rr1.5_sl0.8_h6_b0.1,2026-06
2,-0.3317,0.774077101212369,0.5,-0.1658,bos_long_rr1.5_sl0.8_h6_b0.1,2026-07
44,-33.9683,0.2279177283234498,0.2273,-0.772,bos_long_rr1.5_sl0.8_h6_b0.2,2026-04
97,-44.0454,0.44100282256426915,0.3608,-0.4541,bos_long_rr1.5_sl0.8_h6_b0.2,2026-05
86,-37.5547,0.44789387951920595,0.3953,-0.4367,bos_long_rr1.5_sl0.8_h6_b0.2,2026-06
2,-0.3377,0.7699904645143714,0.5,-0.1688,bos_long_rr1.5_sl0.8_h6_b0.2,2026-07
43,-25.167,0.34911135479599437,0.3023,-0.5853,bos_long_rr1.5_sl1.0_h12_b0.1,2026-04
91,-31.1188,0.5507964576221032,0.3626,-0.342,bos_long_rr1.5_sl1.0_h12_b0.1,2026-05
79,-33.6654,0.46789802856704815,0.3671,-0.4261,bos_long_rr1.5_sl1.0_h12_b0.1,2026-06
1,-1.3745,0.0,0.0,-1.3745,bos_long_rr1.5_sl1.0_h12_b0.1,2026-07
41,-27.4041,0.2878592978927427,0.2683,-0.6684,bos_long_rr1.5_sl1.0_h12_b0.2,2026-04
86,-25.6926,0.5947481904317253,0.3837,-0.2988,bos_long_rr1.5_sl1.0_h12_b0.2,2026-05
73,-35.3507,0.4204803278688525,0.3425,-0.4843,bos_long_rr1.5_sl1.0_h12_b0.2,2026-06
1,-1.3856,0.0,0.0,-1.3856,bos_long_rr1.5_sl1.0_h12_b0.2,2026-07
44,-24.8336,0.32952652481580175,0.2727,-0.5644,bos_long_rr1.5_sl1.0_h6_b0.1,2026-04
97,-35.4653,0.49237677018953596,0.3505,-0.3656,bos_long_rr1.5_sl1.0_h6_b0.1,2026-05
81,-28.3178,0.49132289673878876,0.4198,-0.3496,bos_long_rr1.5_sl1.0_h6_b0.1,2026-06
2,-0.1653,0.8797380865769371,0.5,-0.0827,bos_long_rr1.5_sl1.0_h6_b0.1,2026-07
42,-25.5851,0.29450579752105993,0.2381,-0.6092,bos_long_rr1.5_sl1.0_h6_b0.2,2026-04
92,-30.4646,0.5239154929137255,0.3696,-0.3311,bos_long_rr1.5_sl1.0_h6_b0.2,2026-05
75,-29.6888,0.4454019177278679,0.3867,-0.3959,bos_long_rr1.5_sl1.0_h6_b0.2,2026-06
2,-0.1701,0.8762459076027646,0.5,-0.0851,bos_long_rr1.5_sl1.0_h6_b0.2,2026-07
45,-29.974,0.35076383910102427,0.2444,-0.6661,bos_long_rr2.0_sl0.8_h12_b0.1,2026-04
90,-47.114,0.45252628777869575,0.2667,-0.5235,bos_long_rr2.0_sl0.8_h12_b0.1,2026-05
82,-46.8257,0.41869123375897865,0.2927,-0.571,bos_long_rr2.0_sl0.8_h12_b0.1,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr2.0_sl0.8_h12_b0.1,2026-07
42,-31.5658,0.29256228723058547,0.2143,-0.7516,bos_long_rr2.0_sl0.8_h12_b0.2,2026-04
84,-42.4517,0.46334658584530586,0.2738,-0.5054,bos_long_rr2.0_sl0.8_h12_b0.2,2026-05
75,-44.8422,0.4002078571055965,0.2933,-0.5979,bos_long_rr2.0_sl0.8_h12_b0.2,2026-06
1,-1.4821,0.0,0.0,-1.4821,bos_long_rr2.0_sl0.8_h12_b0.2,2026-07
45,-31.5198,0.32023101940114385,0.2444,-0.7004,bos_long_rr2.0_sl0.8_h6_b0.1,2026-04
95,-43.199,0.4627798552705376,0.3053,-0.4547,bos_long_rr2.0_sl0.8_h6_b0.1,2026-05
83,-37.023,0.48697731908478187,0.3494,-0.4461,bos_long_rr2.0_sl0.8_h6_b0.1,2026-06
2,0.1683,1.1146301593788313,0.5,0.0842,bos_long_rr2.0_sl0.8_h6_b0.1,2026-07
43,-32.4638,0.2830638696327181,0.2093,-0.755,bos_long_rr2.0_sl0.8_h6_b0.2,2026-04
89,-37.7052,0.47820599579024287,0.3258,-0.4237,bos_long_rr2.0_sl0.8_h6_b0.2,2026-05
76,-36.6452,0.4492392042756058,0.3289,-0.4822,bos_long_rr2.0_sl0.8_h6_b0.2,2026-06
2,0.1623,1.1105435226808338,0.5,0.0812,bos_long_rr2.0_sl0.8_h6_b0.2,2026-07
37,-16.1474,0.49138362779035966,0.3243,-0.4364,bos_long_rr2.0_sl1.0_h12_b0.1,2026-04
77,-37.2623,0.4409861200290441,0.2727,-0.4839,bos_long_rr2.0_sl1.0_h12_b0.1,2026-05
75,-26.5847,0.5730346281898295,0.3467,-0.3545,bos_long_rr2.0_sl1.0_h12_b0.1,2026-06
1,-1.3745,0.0,0.0,-1.3745,bos_long_rr2.0_sl1.0_h12_b0.1,2026-07
37,-18.42,0.44308390022675737,0.2973,-0.4978,bos_long_rr2.0_sl1.0_h12_b0.2,2026-04
74,-36.7348,0.43381179977466405,0.2703,-0.4964,bos_long_rr2.0_sl1.0_h12_b0.2,2026-05
69,-29.668,0.5056412683230828,0.3188,-0.43,bos_long_rr2.0_sl1.0_h12_b0.2,2026-06
1,-1.3856,0.0,0.0,-1.3856,bos_long_rr2.0_sl1.0_h12_b0.2,2026-07
40,-17.0786,0.4581215455589611,0.3,-0.427,bos_long_rr2.0_sl1.0_h6_b0.1,2026-04
85,-37.9542,0.4277110977080821,0.2824,-0.4465,bos_long_rr2.0_sl1.0_h6_b0.1,2026-05
77,-19.6853,0.6396613582280797,0.4156,-0.2557,bos_long_rr2.0_sl1.0_h6_b0.1,2026-06
2,0.3347,1.243506729719898,0.5,0.1673,bos_long_rr2.0_sl1.0_h6_b0.1,2026-07
39,-18.2585,0.4316190227153161,0.2564,-0.4682,bos_long_rr2.0_sl1.0_h6_b0.2,2026-04
80,-34.0633,0.4355923469362394,0.3,-0.4258,bos_long_rr2.0_sl1.0_h6_b0.2,2026-05
70,-23.043,0.555648545246984,0.3714,-0.3292,bos_long_rr2.0_sl1.0_h6_b0.2,2026-06
2,0.3299,1.2400145507457256,0.5,0.1649,bos_long_rr2.0_sl1.0_h6_b0.2,2026-07
67,-30.1665,0.39456429461667686,0.4776,-0.4502,bos_short_rr1.0_sl0.8_h12_b0.1,2026-04
118,-48.6032,0.41797035915810044,0.4746,-0.4119,bos_short_rr1.0_sl0.8_h12_b0.1,2026-05
124,-57.7538,0.39521840341880704,0.4355,-0.4658,bos_short_rr1.0_sl0.8_h12_b0.1,2026-06
6,-0.3653,0.8731112577720659,0.6667,-0.0609,bos_short_rr1.0_sl0.8_h12_b0.1,2026-07
63,-22.7649,0.46704639631414085,0.5238,-0.3613,bos_short_rr1.0_sl0.8_h12_b0.2,2026-04
112,-54.1726,0.35298761574779075,0.4464,-0.4837,bos_short_rr1.0_sl0.8_h12_b0.2,2026-05
116,-67.2065,0.3164576402372232,0.3793,-0.5794,bos_short_rr1.0_sl0.8_h12_b0.2,2026-06
6,-0.3653,0.8731112577720659,0.6667,-0.0609,bos_short_rr1.0_sl0.8_h12_b0.2,2026-07
67,-28.9597,0.4043579401595663,0.4776,-0.4322,bos_short_rr1.0_sl0.8_h6_b0.1,2026-04
118,-47.9362,0.4213357412052719,0.4746,-0.4062,bos_short_rr1.0_sl0.8_h6_b0.1,2026-05
125,-57.5139,0.3953936980558458,0.432,-0.4601,bos_short_rr1.0_sl0.8_h6_b0.1,2026-06
7,0.0085,1.002952516586196,0.7143,0.0012,bos_short_rr1.0_sl0.8_h6_b0.1,2026-07
63,-22.2736,0.463387604257513,0.5238,-0.3535,bos_short_rr1.0_sl0.8_h6_b0.2,2026-04
112,-54.1726,0.35298761574779075,0.4464,-0.4837,bos_short_rr1.0_sl0.8_h6_b0.2,2026-05
117,-66.5243,0.3177659612653126,0.3761,-0.5686,bos_short_rr1.0_sl0.8_h6_b0.2,2026-06
7,-0.0108,0.9962485671610686,0.7143,-0.0015,bos_short_rr1.0_sl0.8_h6_b0.2,2026-07
60,-25.1083,0.4288635639870797,0.45,-0.4185,bos_short_rr1.0_sl1.0_h12_b0.1,2026-04
105,-37.6877,0.4781304047401779,0.4667,-0.3589,bos_short_rr1.0_sl1.0_h12_b0.1,2026-05
109,-31.9856,0.5568867252763084,0.4862,-0.2934,bos_short_rr1.0_sl1.0_h12_b0.1,2026-06
6,0.109,1.040324072361363,0.6667,0.0182,bos_short_rr1.0_sl1.0_h12_b0.1,2026-07
56,-21.9763,0.45283042356760844,0.4643,-0.3924,bos_short_rr1.0_sl1.0_h12_b0.2,2026-04
103,-39.6255,0.4505760386234972,0.4563,-0.3847,bos_short_rr1.0_sl1.0_h12_b0.2,2026-05
102,-36.9601,0.48695030538589673,0.451,-0.3624,bos_short_rr1.0_sl1.0_h12_b0.2,2026-06
6,0.109,1.040324072361363,0.6667,0.0182,bos_short_rr1.0_sl1.0_h12_b0.2,2026-07
61,-24.2019,0.43449012304715795,0.459,-0.3968,bos_short_rr1.0_sl1.0_h6_b0.1,2026-04
105,-34.8488,0.4979296990932168,0.4762,-0.3319,bos_short_rr1.0_sl1.0_h6_b0.1,2026-05
109,-32.4959,0.5437269991842214,0.4771,-0.2981,bos_short_rr1.0_sl1.0_h6_b0.1,2026-06
7,0.608,1.224926935740446,0.7143,0.0869,bos_short_rr1.0_sl1.0_h6_b0.1,2026-07
57,-21.4724,0.44940022872850544,0.4737,-0.3767,bos_short_rr1.0_sl1.0_h6_b0.2,2026-04
103,-37.9005,0.4608249695917831,0.4563,-0.368,bos_short_rr1.0_sl1.0_h6_b0.2,2026-05
102,-36.9166,0.4765288339782793,0.4412,-0.3619,bos_short_rr1.0_sl1.0_h6_b0.2,2026-06
7,0.5926,1.2192297732233361,0.7143,0.0847,bos_short_rr1.0_sl1.0_h6_b0.2,2026-07
59,-24.0677,0.5159926718269554,0.3898,-0.4079,bos_short_rr1.5_sl0.8_h12_b0.1,2026-04
104,-51.6486,0.4401084040217892,0.3462,-0.4966,bos_short_rr1.5_sl0.8_h12_b0.1,2026-05
107,-36.1562,0.583990224583745,0.3925,-0.3379,bos_short_rr1.5_sl0.8_h12_b0.1,2026-06
4,-0.4205,0.83238330609479,0.5,-0.1051,bos_short_rr1.5_sl0.8_h12_b0.1,2026-07
55,-21.9806,0.5193185794261721,0.4,-0.3996,bos_short_rr1.5_sl0.8_h12_b0.2,2026-04
