trades,net_r,pf,win_rate,avg_r,tag,symbol
52,-2.2843,0.9149467742475974,0.5192,-0.0439,bos_long_rr1.0_sl0.8_h12_b0.1,XAUUSD
63,-33.4453,0.29643201989199924,0.4444,-0.5309,bos_long_rr1.0_sl0.8_h12_b0.1,EURUSD
64,-46.7696,0.20520284749518647,0.3438,-0.7308,bos_long_rr1.0_sl0.8_h12_b0.1,GBPUSD
92,-51.9639,0.26638336921610845,0.4565,-0.5648,bos_long_rr1.0_sl0.8_h12_b0.1,USDJPY
52,-6.2909,0.7832868850482454,0.4808,-0.121,bos_long_rr1.0_sl0.8_h12_b0.2,XAUUSD
57,-31.595,0.2823917398394665,0.4386,-0.5543,bos_long_rr1.0_sl0.8_h12_b0.2,EURUSD
60,-40.9814,0.22758945652276344,0.3667,-0.683,bos_long_rr1.0_sl0.8_h12_b0.2,GBPUSD
84,-47.8799,0.26490384467760414,0.4643,-0.57,bos_long_rr1.0_sl0.8_h12_b0.2,USDJPY
52,-1.1078,0.9555434272253368,0.5385,-0.0213,bos_long_rr1.0_sl0.8_h6_b0.1,XAUUSD
63,-33.2914,0.2973948352566754,0.4444,-0.5284,bos_long_rr1.0_sl0.8_h6_b0.1,EURUSD
66,-43.048,0.22723143922938557,0.3636,-0.6522,bos_long_rr1.0_sl0.8_h6_b0.1,GBPUSD
93,-52.6006,0.25814549772792017,0.4409,-0.5656,bos_long_rr1.0_sl0.8_h6_b0.1,USDJPY
52,-6.1495,0.7813526659365978,0.5,-0.1183,bos_long_rr1.0_sl0.8_h6_b0.2,XAUUSD
57,-31.1308,0.28540078964282434,0.4386,-0.5462,bos_long_rr1.0_sl0.8_h6_b0.2,EURUSD
63,-38.8731,0.24702621348503953,0.381,-0.617,bos_long_rr1.0_sl0.8_h6_b0.2,GBPUSD
84,-48.6858,0.24842772150061904,0.4405,-0.5796,bos_long_rr1.0_sl0.8_h6_b0.2,USDJPY
46,-1.1363,0.9506912682363765,0.5217,-0.0247,bos_long_rr1.0_sl1.0_h12_b0.1,XAUUSD
59,-21.9704,0.4355782199329489,0.4746,-0.3724,bos_long_rr1.0_sl1.0_h12_b0.1,EURUSD
61,-26.9236,0.3862573772621894,0.4426,-0.4414,bos_long_rr1.0_sl1.0_h12_b0.1,GBPUSD
82,-39.7373,0.32725268846330957,0.4268,-0.4846,bos_long_rr1.0_sl1.0_h12_b0.1,USDJPY
46,-5.1473,0.7956406947890818,0.4783,-0.1119,bos_long_rr1.0_sl1.0_h12_b0.2,XAUUSD
53,-20.6902,0.4207476175011478,0.4717,-0.3904,bos_long_rr1.0_sl1.0_h12_b0.2,EURUSD
58,-24.7865,0.39577985632204926,0.4483,-0.4274,bos_long_rr1.0_sl1.0_h12_b0.2,GBPUSD
75,-36.8841,0.33106814076476093,0.44,-0.4918,bos_long_rr1.0_sl1.0_h12_b0.2,USDJPY
47,-2.0211,0.9112972951621893,0.5106,-0.043,bos_long_rr1.0_sl1.0_h6_b0.1,XAUUSD
59,-21.9782,0.42559725267688897,0.4576,-0.3725,bos_long_rr1.0_sl1.0_h6_b0.1,EURUSD
64,-23.9115,0.4284659180541811,0.4531,-0.3736,bos_long_rr1.0_sl1.0_h6_b0.1,GBPUSD
87,-41.8681,0.2979933132798798,0.3908,-0.4812,bos_long_rr1.0_sl1.0_h6_b0.1,USDJPY
47,-7.0601,0.7279973801818462,0.4681,-0.1502,bos_long_rr1.0_sl1.0_h6_b0.2,XAUUSD
53,-21.0573,0.405417997306249,0.4528,-0.3973,bos_long_rr1.0_sl1.0_h6_b0.2,EURUSD
61,-21.9823,0.44302498524094625,0.459,-0.3604,bos_long_rr1.0_sl1.0_h6_b0.2,GBPUSD
77,-39.4877,0.27776883598599716,0.3766,-0.5128,bos_long_rr1.0_sl1.0_h6_b0.2,USDJPY
44,-2.5538,0.9085947035179837,0.4091,-0.058,bos_long_rr1.5_sl0.8_h12_b0.1,XAUUSD
53,-26.64,0.40724786340000313,0.3585,-0.5026,bos_long_rr1.5_sl0.8_h12_b0.1,EURUSD
60,-42.5194,0.287986188210747,0.2833,-0.7087,bos_long_rr1.5_sl0.8_h12_b0.1,GBPUSD
83,-55.8,0.30979033953862334,0.3253,-0.6723,bos_long_rr1.5_sl0.8_h12_b0.1,USDJPY
43,-6.4916,0.7763992270624586,0.3721,-0.151,bos_long_rr1.5_sl0.8_h12_b0.2,XAUUSD
50,-25.4068,0.4056874986842074,0.36,-0.5081,bos_long_rr1.5_sl0.8_h12_b0.2,EURUSD
56,-36.7312,0.31889580540303997,0.3036,-0.6559,bos_long_rr1.5_sl0.8_h12_b0.2,GBPUSD
75,-50.0312,0.3189577840182841,0.3333,-0.6671,bos_long_rr1.5_sl0.8_h12_b0.2,USDJPY
45,-2.2754,0.9159947427491286,0.4222,-0.0506,bos_long_rr1.5_sl0.8_h6_b0.1,XAUUSD
53,-26.1699,0.4014436767097345,0.3774,-0.4938,bos_long_rr1.5_sl0.8_h6_b0.1,EURUSD
61,-39.7014,0.3007300684274027,0.3115,-0.6508,bos_long_rr1.5_sl0.8_h6_b0.1,GBPUSD
84,-50.3279,0.3248673288152692,0.3452,-0.5991,bos_long_rr1.5_sl0.8_h6_b0.1,USDJPY
45,-8.509,0.7110627417290054,0.3778,-0.1891,bos_long_rr1.5_sl0.8_h6_b0.2,XAUUSD
50,-24.6264,0.40253867204937593,0.38,-0.4925,bos_long_rr1.5_sl0.8_h6_b0.2,EURUSD
58,-35.5265,0.325814017921868,0.3276,-0.6125,bos_long_rr1.5_sl0.8_h6_b0.2,GBPUSD
76,-47.2442,0.3144589292347697,0.3289,-0.6216,bos_long_rr1.5_sl0.8_h6_b0.2,USDJPY
37,0.0983,1.0046887893574499,0.4595,0.0027,bos_long_rr1.5_sl1.0_h12_b0.1,XAUUSD
51,-25.3592,0.40522182923511363,0.3137,-0.4972,bos_long_rr1.5_sl1.0_h12_b0.1,EURUSD
54,-26.6873,0.42822403715955637,0.3333,-0.4942,bos_long_rr1.5_sl1.0_h12_b0.1,GBPUSD
72,-39.3775,0.36802463865341223,0.3333,-0.5469,bos_long_rr1.5_sl1.0_h12_b0.1,USDJPY
37,-2.401,0.8910236334835673,0.4324,-0.0649,bos_long_rr1.5_sl1.0_h12_b0.2,XAUUSD
51,-22.3983,0.471556243423443,0.3529,-0.4392,bos_long_rr1.5_sl1.0_h12_b0.2,GBPUSD
48,-24.4726,0.3984415712108549,0.3125,-0.5098,bos_long_rr1.5_sl1.0_h12_b0.2,EURUSD
65,-40.5611,0.31445603324865673,0.3077,-0.624,bos_long_rr1.5_sl1.0_h12_b0.2,USDJPY
39,-3.2919,0.8477163700623123,0.4359,-0.0844,bos_long_rr1.5_sl1.0_h6_b0.1,XAUUSD
51,-21.5221,0.44912590544933323,0.3529,-0.422,bos_long_rr1.5_sl1.0_h6_b0.1,EURUSD
56,-21.9591,0.4730616946224174,0.3929,-0.3921,bos_long_rr1.5_sl1.0_h6_b0.1,GBPUSD
78,-42.0089,0.31791996674752476,0.3077,-0.5386,bos_long_rr1.5_sl1.0_h6_b0.1,USDJPY
39,-6.2264,0.7273212987536241,0.4103,-0.1597,bos_long_rr1.5_sl1.0_h6_b0.2,XAUUSD
48,-20.4234,0.4465578212858208,0.3542,-0.4255,bos_long_rr1.5_sl1.0_h6_b0.2,EURUSD
54,-20.7692,0.4896538505957544,0.3889,-0.3846,bos_long_rr1.5_sl1.0_h6_b0.2,GBPUSD
70,-38.4896,0.2967238575526686,0.2857,-0.5499,bos_long_rr1.5_sl1.0_h6_b0.2,USDJPY
36,-2.193,0.9110950751617558,0.3611,-0.0609,bos_long_rr2.0_sl0.8_h12_b0.1,XAUUSD
49,-26.0656,0.4400178743297126,0.2857,-0.532,bos_long_rr2.0_sl0.8_h12_b0.1,EURUSD
56,-40.7839,0.3168377200843569,0.2321,-0.7283,bos_long_rr2.0_sl0.8_h12_b0.1,GBPUSD
77,-56.3394,0.32392368440315894,0.2468,-0.7317,bos_long_rr2.0_sl0.8_h12_b0.1,USDJPY
36,-5.2141,0.7976921674148628,0.3333,-0.1448,bos_long_rr2.0_sl0.8_h12_b0.2,XAUUSD
46,-25.3324,0.4288613028754887,0.2826,-0.5507,bos_long_rr2.0_sl0.8_h12_b0.2,EURUSD
52,-34.9797,0.3509597454285688,0.25,-0.6727,bos_long_rr2.0_sl0.8_h12_b0.2,GBPUSD
68,-54.8156,0.2782444738214243,0.2353,-0.8061,bos_long_rr2.0_sl0.8_h12_b0.2,USDJPY
39,-2.9379,0.8830397948946606,0.4103,-0.0753,bos_long_rr2.0_sl0.8_h6_b0.1,XAUUSD
49,-21.6512,0.49019894089696464,0.3265,-0.4419,bos_long_rr2.0_sl0.8_h6_b0.1,EURUSD
58,-37.0841,0.34740963643402667,0.2759,-0.6394,bos_long_rr2.0_sl0.8_h6_b0.1,GBPUSD
79,-49.9003,0.3434205609444161,0.2785,-0.6316,bos_long_rr2.0_sl0.8_h6_b0.1,USDJPY
39,-7.5905,0.7130375937575612,0.359,-0.1946,bos_long_rr2.0_sl0.8_h6_b0.2,XAUUSD
46,-20.6077,0.4843769547572223,0.3261,-0.448,bos_long_rr2.0_sl0.8_h6_b0.2,EURUSD
55,-32.9092,0.3760804157289951,0.2909,-0.5983,bos_long_rr2.0_sl0.8_h6_b0.2,GBPUSD
70,-45.5445,0.3139038987919937,0.2714,-0.6506,bos_long_rr2.0_sl0.8_h6_b0.2,USDJPY
31,-6.3737,0.7028730461374941,0.3226,-0.2056,bos_long_rr2.0_sl1.0_h12_b0.1,XAUUSD
49,-20.7083,0.5249409281732468,0.3265,-0.4226,bos_long_rr2.0_sl1.0_h12_b0.1,GBPUSD
46,-24.041,0.4186563879847755,0.2609,-0.5226,bos_long_rr2.0_sl1.0_h12_b0.1,EURUSD
64,-30.2459,0.4564723598946222,0.3281,-0.4726,bos_long_rr2.0_sl1.0_h12_b0.1,USDJPY
31,-9.3905,0.5833111466098686,0.2903,-0.3029,bos_long_rr2.0_sl1.0_h12_b0.2,XAUUSD
47,-17.9517,0.5603780146151284,0.3404,-0.382,bos_long_rr2.0_sl1.0_h12_b0.2,GBPUSD
43,-23.6639,0.399535135107703,0.2558,-0.5503,bos_long_rr2.0_sl1.0_h12_b0.2,EURUSD
60,-35.2023,0.3777753031821532,0.2833,-0.5867,bos_long_rr2.0_sl1.0_h12_b0.2,USDJPY
33,-2.4563,0.8710732262923908,0.4242,-0.0744,bos_long_rr2.0_sl1.0_h6_b0.1,XAUUSD
