trades,net_r,pf,win_rate,avg_r,tag,year
271,-134.4631,0.34109712688512633,0.4391,-0.4962,bos_long_rr1.0_sl0.8_h12_b0.1,2026
253,-126.7472,0.3372612257617873,0.4387,-0.501,bos_long_rr1.0_sl0.8_h12_b0.2,2026
274,-130.0478,0.34620402298706104,0.4416,-0.4746,bos_long_rr1.0_sl0.8_h6_b0.1,2026
256,-124.8392,0.33629320249088357,0.4375,-0.4877,bos_long_rr1.0_sl0.8_h6_b0.2,2026
248,-89.7676,0.4556411805085589,0.4597,-0.362,bos_long_rr1.0_sl1.0_h12_b0.1,2026
232,-87.5081,0.44286274554745286,0.4569,-0.3772,bos_long_rr1.0_sl1.0_h12_b0.2,2026
257,-89.7789,0.4476021653177526,0.4436,-0.3493,bos_long_rr1.0_sl1.0_h6_b0.1,2026
238,-89.5874,0.4239241427737323,0.4328,-0.3764,bos_long_rr1.0_sl1.0_h6_b0.2,2026
240,-127.5132,0.40259262018240827,0.3375,-0.5313,bos_long_rr1.5_sl0.8_h12_b0.1,2026
224,-118.6608,0.4042342961115329,0.3393,-0.5297,bos_long_rr1.5_sl0.8_h12_b0.2,2026
243,-118.4746,0.41386581229394326,0.358,-0.4875,bos_long_rr1.5_sl0.8_h6_b0.1,2026
229,-115.9061,0.3971961474591777,0.3493,-0.5061,bos_long_rr1.5_sl0.8_h6_b0.2,2026
214,-91.3257,0.4708342531736664,0.3505,-0.4268,bos_long_rr1.5_sl1.0_h12_b0.1,2026
201,-89.833,0.4531248097597799,0.3433,-0.4469,bos_long_rr1.5_sl1.0_h12_b0.2,2026
224,-88.782,0.45847562920750023,0.3616,-0.3963,bos_long_rr1.5_sl1.0_h6_b0.1,2026
211,-85.9086,0.4463296425671234,0.3507,-0.4071,bos_long_rr1.5_sl1.0_h6_b0.2,2026
218,-125.3819,0.4147749125302923,0.2706,-0.5751,bos_long_rr2.0_sl0.8_h12_b0.1,2026
202,-120.3418,0.39819892443543864,0.2673,-0.5958,bos_long_rr2.0_sl0.8_h12_b0.2,2026
225,-111.5735,0.44328795584763825,0.3111,-0.4959,bos_long_rr2.0_sl0.8_h6_b0.1,2026
210,-106.6519,0.42519906136382496,0.3048,-0.5079,bos_long_rr2.0_sl0.8_h6_b0.2,2026
190,-81.3689,0.49785829378124546,0.3105,-0.4283,bos_long_rr2.0_sl1.0_h12_b0.1,2026
181,-86.2084,0.4590153029783891,0.2928,-0.4763,bos_long_rr2.0_sl1.0_h12_b0.2,2026
204,-74.3834,0.5164945310737842,0.3382,-0.3646,bos_long_rr2.0_sl1.0_h6_b0.1,2026
191,-75.0349,0.48503274697837656,0.3194,-0.3929,bos_long_rr2.0_sl1.0_h6_b0.2,2026
315,-136.8888,0.4092151845414914,0.4635,-0.4346,bos_short_rr1.0_sl0.8_h12_b0.1,2026
297,-144.5093,0.3651896818553016,0.4411,-0.4866,bos_short_rr1.0_sl0.8_h12_b0.2,2026
317,-134.4013,0.4142810325637421,0.4637,-0.424,bos_short_rr1.0_sl0.8_h6_b0.1,2026
299,-142.9813,0.36628365396335044,0.4415,-0.4782,bos_short_rr1.0_sl0.8_h6_b0.2,2026
280,-94.6726,0.5045021186440678,0.475,-0.3381,bos_short_rr1.0_sl1.0_h12_b0.1,2026
267,-98.4529,0.4735944128331175,0.4607,-0.3687,bos_short_rr1.0_sl1.0_h12_b0.2,2026
282,-90.9386,0.5114247983400866,0.4787,-0.3225,bos_short_rr1.0_sl1.0_h6_b0.1,2026
269,-95.6969,0.47568370156286377,0.461,-0.3558,bos_short_rr1.0_sl1.0_h6_b0.2,2026
274,-112.293,0.5147108395204716,0.3759,-0.4098,bos_short_rr1.5_sl0.8_h12_b0.1,2026
261,-113.7314,0.4915432609858029,0.3678,-0.4358,bos_short_rr1.5_sl0.8_h12_b0.2,2026
277,-108.4643,0.5230701176975481,0.3971,-0.3916,bos_short_rr1.5_sl0.8_h6_b0.1,2026
263,-110.6068,0.497818185945676,0.384,-0.4206,bos_short_rr1.5_sl0.8_h6_b0.2,2026
246,-69.2994,0.6332121105623653,0.4024,-0.2817,bos_short_rr1.5_sl1.0_h12_b0.1,2026
234,-67.4295,0.6265034414226984,0.4017,-0.2882,bos_short_rr1.5_sl1.0_h12_b0.2,2026
251,-68.3864,0.6269195098798704,0.4223,-0.2725,bos_short_rr1.5_sl1.0_h6_b0.1,2026
239,-67.0794,0.6162191758250246,0.4142,-0.2807,bos_short_rr1.5_sl1.0_h6_b0.2,2026
250,-77.8845,0.6469893164688462,0.352,-0.3115,bos_short_rr2.0_sl0.8_h12_b0.1,2026
238,-80.5406,0.6219271245786377,0.3445,-0.3384,bos_short_rr2.0_sl0.8_h12_b0.2,2026
256,-78.0056,0.6397542376638539,0.375,-0.3047,bos_short_rr2.0_sl0.8_h6_b0.1,2026
244,-84.0369,0.6018725566182365,0.3607,-0.3444,bos_short_rr2.0_sl0.8_h6_b0.2,2026
227,-46.6466,0.7448427400143642,0.3744,-0.2055,bos_short_rr2.0_sl1.0_h12_b0.1,2026
220,-55.5209,0.6927916771797493,0.3636,-0.2524,bos_short_rr2.0_sl1.0_h12_b0.2,2026
239,-57.84,0.6847073240133749,0.3808,-0.242,bos_short_rr2.0_sl1.0_h6_b0.1,2026
231,-62.3868,0.6518430551432098,0.368,-0.2701,bos_short_rr2.0_sl1.0_h6_b0.2,2026
95,-52.2347,0.3241384932089988,0.4105,-0.5498,choch_long_rr1.0_sl0.8_h12_b0.1,2026
87,-51.7084,0.2906756143164225,0.3908,-0.5943,choch_long_rr1.0_sl0.8_h12_b0.2,2026
95,-51.848,0.3165394603287592,0.4,-0.5458,choch_long_rr1.0_sl0.8_h6_b0.1,2026
87,-49.9969,0.2931851757604032,0.3908,-0.5747,choch_long_rr1.0_sl0.8_h6_b0.2,2026
90,-41.4453,0.38645003700962255,0.4111,-0.4605,choch_long_rr1.0_sl1.0_h12_b0.1,2026
83,-42.7185,0.34036790604236183,0.3855,-0.5147,choch_long_rr1.0_sl1.0_h12_b0.2,2026
90,-42.0109,0.35520018909220397,0.3889,-0.4668,choch_long_rr1.0_sl1.0_h6_b0.1,2026
83,-42.8878,0.30808607986215863,0.3614,-0.5167,choch_long_rr1.0_sl1.0_h6_b0.2,2026
88,-58.441,0.3225535722979693,0.2841,-0.6641,choch_long_rr1.5_sl0.8_h12_b0.1,2026
80,-55.3618,0.3015218153786371,0.275,-0.692,choch_long_rr1.5_sl0.8_h12_b0.2,2026
88,-60.6681,0.274703243075871,0.2614,-0.6894,choch_long_rr1.5_sl0.8_h6_b0.1,2026
80,-55.7371,0.27402018886356233,0.2625,-0.6967,choch_long_rr1.5_sl0.8_h6_b0.2,2026
83,-39.4125,0.43787733353110736,0.3373,-0.4748,choch_long_rr1.5_sl1.0_h12_b0.1,2026
76,-39.4477,0.4041969934737265,0.3158,-0.519,choch_long_rr1.5_sl1.0_h12_b0.2,2026
84,-42.3103,0.3624558310542534,0.3095,-0.5037,choch_long_rr1.5_sl1.0_h6_b0.1,2026
77,-41.8148,0.3339258976074421,0.2857,-0.543,choch_long_rr1.5_sl1.0_h6_b0.2,2026
85,-47.7403,0.42408918237825305,0.2824,-0.5617,choch_long_rr2.0_sl0.8_h12_b0.1,2026
77,-41.4886,0.4450851125582988,0.2857,-0.5388,choch_long_rr2.0_sl0.8_h12_b0.2,2026
86,-51.3019,0.3558541647571108,0.2674,-0.5965,choch_long_rr2.0_sl0.8_h6_b0.1,2026
78,-43.0637,0.4042108408815151,0.2821,-0.5521,choch_long_rr2.0_sl0.8_h6_b0.2,2026
