trades,net_r,pf,win_rate,avg_r,tag,month
1,1.2122,inf,1.0,1.2122,round_level_sweep_long_rr1.5_sl0.8_h12,2024-02
2,-2.0561,0.0,0.0,-1.028,round_level_sweep_long_rr1.5_sl0.8_h12,2024-08
1,1.29,inf,1.0,1.29,round_level_sweep_long_rr1.5_sl0.8_h12,2024-09
1,1.4516,inf,1.0,1.4516,round_level_sweep_long_rr1.5_sl0.8_h12,2025-02
1,-1.047,0.0,0.0,-1.047,round_level_sweep_long_rr1.5_sl0.8_h12,2025-04
3,-1.5799,0.2952223758754517,0.3333,-0.5266,round_level_sweep_long_rr1.5_sl0.8_h12,2025-06
1,-1.0879,0.0,0.0,-1.0879,round_level_sweep_long_rr1.5_sl0.8_h12,2025-11
2,-2.1146,0.0,0.0,-1.0573,round_level_sweep_long_rr1.5_sl0.8_h12,2025-12
1,1.4441,inf,1.0,1.4441,round_level_sweep_long_rr1.5_sl0.8_h12,2026-01
2,0.4472,1.441199684293607,0.5,0.2236,round_level_sweep_long_rr1.5_sl0.8_h12,2026-02
1,-1.0761,0.0,0.0,-1.0761,round_level_sweep_long_rr1.5_sl0.8_h12,2026-04
2,2.8337,inf,1.0,1.4168,round_level_sweep_long_rr1.5_sl0.8_h12,2026-05
2,0.2963,1.2741487786824575,0.5,0.1482,round_level_sweep_long_rr1.5_sl0.8_h12,2026-06
1,1.2122,inf,1.0,1.2122,round_level_sweep_long_rr1.5_sl0.8_h24,2024-02
2,-2.0561,0.0,0.0,-1.028,round_level_sweep_long_rr1.5_sl0.8_h24,2024-08
1,1.29,inf,1.0,1.29,round_level_sweep_long_rr1.5_sl0.8_h24,2024-09
1,1.4516,inf,1.0,1.4516,round_level_sweep_long_rr1.5_sl0.8_h24,2025-02
1,-1.047,0.0,0.0,-1.047,round_level_sweep_long_rr1.5_sl0.8_h24,2025-04
3,-3.2846,0.0,0.0,-1.0949,round_level_sweep_long_rr1.5_sl0.8_h24,2025-06
1,-1.0879,0.0,0.0,-1.0879,round_level_sweep_long_rr1.5_sl0.8_h24,2025-11
2,-2.1146,0.0,0.0,-1.0573,round_level_sweep_long_rr1.5_sl0.8_h24,2025-12
1,1.4441,inf,1.0,1.4441,round_level_sweep_long_rr1.5_sl0.8_h24,2026-01
2,0.4472,1.441199684293607,0.5,0.2236,round_level_sweep_long_rr1.5_sl0.8_h24,2026-02
1,-1.0761,0.0,0.0,-1.0761,round_level_sweep_long_rr1.5_sl0.8_h24,2026-04
2,2.8337,inf,1.0,1.4168,round_level_sweep_long_rr1.5_sl0.8_h24,2026-05
2,0.2963,1.2741487786824575,0.5,0.1482,round_level_sweep_long_rr1.5_sl0.8_h24,2026-06
1,1.2122,inf,1.0,1.2122,round_level_sweep_long_rr1.5_sl0.8_h6,2024-02
2,-2.0561,0.0,0.0,-1.028,round_level_sweep_long_rr1.5_sl0.8_h6,2024-08
1,1.29,inf,1.0,1.29,round_level_sweep_long_rr1.5_sl0.8_h6,2024-09
1,1.2381,inf,1.0,1.2381,round_level_sweep_long_rr1.5_sl0.8_h6,2025-02
1,-1.047,0.0,0.0,-1.047,round_level_sweep_long_rr1.5_sl0.8_h6,2025-04
3,-1.6315,0.2722041307935942,0.3333,-0.5438,round_level_sweep_long_rr1.5_sl0.8_h6,2025-06
1,-1.0879,0.0,0.0,-1.0879,round_level_sweep_long_rr1.5_sl0.8_h6,2025-11
2,-2.1146,0.0,0.0,-1.0573,round_level_sweep_long_rr1.5_sl0.8_h6,2025-12
1,1.4441,inf,1.0,1.4441,round_level_sweep_long_rr1.5_sl0.8_h6,2026-01
2,0.4472,1.441199684293607,0.5,0.2236,round_level_sweep_long_rr1.5_sl0.8_h6,2026-02
1,-1.0761,0.0,0.0,-1.0761,round_level_sweep_long_rr1.5_sl0.8_h6,2026-04
2,2.8337,inf,1.0,1.4168,round_level_sweep_long_rr1.5_sl0.8_h6,2026-05
2,0.2963,1.2741487786824575,0.5,0.1482,round_level_sweep_long_rr1.5_sl0.8_h6,2026-06
1,1.2697,inf,1.0,1.2697,round_level_sweep_long_rr1.5_sl1.0_h12,2024-02
2,-0.2005,0.8052074225201592,0.5,-0.1003,round_level_sweep_long_rr1.5_sl1.0_h12,2024-08
1,1.332,inf,1.0,1.332,round_level_sweep_long_rr1.5_sl1.0_h12,2024-09
1,0.8396,inf,1.0,0.8396,round_level_sweep_long_rr1.5_sl1.0_h12,2025-02
1,-1.0376,0.0,0.0,-1.0376,round_level_sweep_long_rr1.5_sl1.0_h12,2025-04
3,-1.6639,0.24137144941412486,0.3333,-0.5546,round_level_sweep_long_rr1.5_sl1.0_h12,2025-06
1,-1.0703,0.0,0.0,-1.0703,round_level_sweep_long_rr1.5_sl1.0_h12,2025-11
2,-2.0917,0.0,0.0,-1.0459,round_level_sweep_long_rr1.5_sl1.0_h12,2025-12
1,1.4553,inf,1.0,1.4553,round_level_sweep_long_rr1.5_sl1.0_h12,2026-01
2,0.4578,1.4528637847462658,0.5,0.2289,round_level_sweep_long_rr1.5_sl1.0_h12,2026-02
1,-1.0609,0.0,0.0,-1.0609,round_level_sweep_long_rr1.5_sl1.0_h12,2026-04
2,2.867,inf,1.0,1.4335,round_level_sweep_long_rr1.5_sl1.0_h12,2026-05
2,0.3371,1.316644749201578,0.5,0.1685,round_level_sweep_long_rr1.5_sl1.0_h12,2026-06
1,1.2697,inf,1.0,1.2697,round_level_sweep_long_rr1.5_sl1.0_h24,2024-02
1,0.4593,inf,1.0,0.4593,round_level_sweep_long_rr1.5_sl1.0_h24,2024-08
1,1.332,inf,1.0,1.332,round_level_sweep_long_rr1.5_sl1.0_h24,2024-09
1,0.8529,inf,1.0,0.8529,round_level_sweep_long_rr1.5_sl1.0_h24,2025-02
1,-1.0376,0.0,0.0,-1.0376,round_level_sweep_long_rr1.5_sl1.0_h24,2025-04
3,-2.0935,0.045502211279806686,0.3333,-0.6978,round_level_sweep_long_rr1.5_sl1.0_h24,2025-06
1,-1.0703,0.0,0.0,-1.0703,round_level_sweep_long_rr1.5_sl1.0_h24,2025-11
2,-2.0917,0.0,0.0,-1.0459,round_level_sweep_long_rr1.5_sl1.0_h24,2025-12
1,1.4553,inf,1.0,1.4553,round_level_sweep_long_rr1.5_sl1.0_h24,2026-01
2,0.4578,1.4528637847462658,0.5,0.2289,round_level_sweep_long_rr1.5_sl1.0_h24,2026-02
1,-1.0609,0.0,0.0,-1.0609,round_level_sweep_long_rr1.5_sl1.0_h24,2026-04
2,2.867,inf,1.0,1.4335,round_level_sweep_long_rr1.5_sl1.0_h24,2026-05
2,0.3371,1.316644749201578,0.5,0.1685,round_level_sweep_long_rr1.5_sl1.0_h24,2026-06
1,1.2697,inf,1.0,1.2697,round_level_sweep_long_rr1.5_sl1.0_h6,2024-02
2,-0.3573,0.6528708831244535,0.5,-0.1787,round_level_sweep_long_rr1.5_sl1.0_h6,2024-08
1,1.332,inf,1.0,1.332,round_level_sweep_long_rr1.5_sl1.0_h6,2024-09
1,0.9905,inf,1.0,0.9905,round_level_sweep_long_rr1.5_sl1.0_h6,2025-02
1,-1.0376,0.0,0.0,-1.0376,round_level_sweep_long_rr1.5_sl1.0_h6,2025-04
3,-0.8339,0.36926102412828077,0.3333,-0.278,round_level_sweep_long_rr1.5_sl1.0_h6,2025-06
1,-1.0703,0.0,0.0,-1.0703,round_level_sweep_long_rr1.5_sl1.0_h6,2025-11
2,-2.0917,0.0,0.0,-1.0459,round_level_sweep_long_rr1.5_sl1.0_h6,2025-12
1,1.4553,inf,1.0,1.4553,round_level_sweep_long_rr1.5_sl1.0_h6,2026-01
2,0.4578,1.4528637847462658,0.5,0.2289,round_level_sweep_long_rr1.5_sl1.0_h6,2026-02
1,-1.0609,0.0,0.0,-1.0609,round_level_sweep_long_rr1.5_sl1.0_h6,2026-04
2,2.867,inf,1.0,1.4335,round_level_sweep_long_rr1.5_sl1.0_h6,2026-05
2,0.3371,1.316644749201578,0.5,0.1685,round_level_sweep_long_rr1.5_sl1.0_h6,2026-06
1,1.7122,inf,1.0,1.7122,round_level_sweep_long_rr2.0_sl0.8_h12,2024-02
2,-2.0561,0.0,0.0,-1.028,round_level_sweep_long_rr2.0_sl0.8_h12,2024-08
1,1.79,inf,1.0,1.79,round_level_sweep_long_rr2.0_sl0.8_h12,2024-09
1,1.0495,inf,1.0,1.0495,round_level_sweep_long_rr2.0_sl0.8_h12,2025-02
1,-1.047,0.0,0.0,-1.047,round_level_sweep_long_rr2.0_sl0.8_h12,2025-04
3,-1.5799,0.2952223758754517,0.3333,-0.5266,round_level_sweep_long_rr2.0_sl0.8_h12,2025-06
1,-1.0879,0.0,0.0,-1.0879,round_level_sweep_long_rr2.0_sl0.8_h12,2025-11
2,-2.1146,0.0,0.0,-1.0573,round_level_sweep_long_rr2.0_sl0.8_h12,2025-12
1,1.9441,inf,1.0,1.9441,round_level_sweep_long_rr2.0_sl0.8_h12,2026-01
2,0.9472,1.9344909234411998,0.5,0.4736,round_level_sweep_long_rr2.0_sl0.8_h12,2026-02
1,-1.0761,0.0,0.0,-1.0761,round_level_sweep_long_rr2.0_sl0.8_h12,2026-04
2,3.8337,inf,1.0,1.9168,round_level_sweep_long_rr2.0_sl0.8_h12,2026-05
2,0.7963,1.7367690599555885,0.5,0.3982,round_level_sweep_long_rr2.0_sl0.8_h12,2026-06
1,1.7122,inf,1.0,1.7122,round_level_sweep_long_rr2.0_sl0.8_h24,2024-02
2,-2.0561,0.0,0.0,-1.028,round_level_sweep_long_rr2.0_sl0.8_h24,2024-08
1,1.79,inf,1.0,1.79,round_level_sweep_long_rr2.0_sl0.8_h24,2024-09
1,1.0662,inf,1.0,1.0662,round_level_sweep_long_rr2.0_sl0.8_h24,2025-02
1,-1.047,0.0,0.0,-1.047,round_level_sweep_long_rr2.0_sl0.8_h24,2025-04
