trades,net_r,pf,win_rate,avg_r,tag,symbols,positive_symbols,years,positive_years,months,positive_months,worst_month_r,top_symbol_frac
20,3.2484,1.2772192732424175,0.45,0.1624,round_level_sweep_long_rr2.0_sl0.8_h6,1,1,3,2,13,7,-2.1146,1.0
20,3.1114,1.265527658775538,0.45,0.1556,round_level_sweep_long_rr2.0_sl0.8_h12,1,1,3,2,13,7,-2.1146,1.0
20,2.2577,1.2330553089580278,0.5,0.1129,round_level_sweep_long_rr1.5_sl1.0_h6,1,1,3,2,13,7,-2.0917,1.0
19,1.6771,1.1759940394362651,0.5263,0.0883,round_level_sweep_long_rr1.5_sl1.0_h24,1,1,3,2,13,8,-2.0935,1.0
20,1.4336,1.135775576307465,0.5,0.0717,round_level_sweep_long_rr1.5_sl1.0_h12,1,1,3,2,13,7,-2.0917,1.0
20,1.4234,1.111545604864937,0.4,0.0712,round_level_sweep_long_rr2.0_sl0.8_h24,1,1,3,2,13,7,-3.2846,1.0
20,0.0135,1.0011520933963711,0.45,0.0007,round_level_sweep_long_rr1.5_sl0.8_h12,1,1,3,2,13,7,-2.1146,1.0
20,-0.2516,0.9785283927017017,0.45,-0.0126,round_level_sweep_long_rr1.5_sl0.8_h6,1,0,3,2,13,7,-2.1146,1.0
20,-1.6912,0.867468085606589,0.4,-0.0846,round_level_sweep_long_rr1.5_sl0.8_h24,1,0,3,2,13,7,-3.2846,1.0
19,-3.8229,0.7065154806961514,0.3684,-0.2012,round_level_sweep_long_rr2.0_sl1.0_h24,1,0,3,1,13,5,-2.1629,1.0
20,-3.8886,0.7464810770283926,0.3,-0.1944,round_level_sweep_long_rr2.5_sl0.8_h12,1,0,3,1,13,4,-2.2037,1.0
17,-3.9434,0.7093516907927709,0.2353,-0.232,round_level_sweep_short_rr2.5_sl0.8_h12,1,0,3,1,15,4,-1.195,1.0
20,-4.0664,0.7106835904149355,0.35,-0.2033,round_level_sweep_long_rr2.0_sl1.0_h12,1,0,3,1,13,4,-2.1629,1.0
20,-4.0892,0.709061414992316,0.35,-0.2045,round_level_sweep_long_rr2.5_sl1.0_h12,1,0,3,1,13,4,-2.1629,1.0
20,-4.1066,0.6752186773382262,0.35,-0.2053,round_level_sweep_long_rr2.0_sl1.0_h6,1,0,3,1,13,4,-2.1629,1.0
17,-4.3364,0.6728282355781564,0.2353,-0.2551,round_level_sweep_short_rr2.5_sl1.0_h12,1,0,3,1,15,4,-1.156,1.0
17,-4.4209,0.6852354201821276,0.2353,-0.2601,round_level_sweep_short_rr2.5_sl0.8_h24,1,0,3,1,15,4,-1.195,1.0
20,-4.4928,0.6446750288669905,0.35,-0.2246,round_level_sweep_long_rr2.5_sl1.0_h6,1,0,3,1,13,4,-2.1629,1.0
17,-4.6881,0.656201874422493,0.2353,-0.2758,round_level_sweep_short_rr2.5_sl1.0_h24,1,0,3,1,15,4,-1.156,1.0
19,-5.3229,0.6222187524396908,0.3158,-0.2802,round_level_sweep_long_rr2.5_sl1.0_h24,1,0,3,1,13,5,-2.1629,1.0
20,-5.5066,0.6409948821592724,0.3,-0.2753,round_level_sweep_long_rr2.5_sl0.8_h6,1,0,3,1,13,4,-2.2037,1.0
17,-5.5548,0.5809026572709028,0.2353,-0.3268,round_level_sweep_short_rr2.0_sl1.0_h12,1,0,3,0,15,4,-1.156,1.0
20,-5.5766,0.6595773255033148,0.25,-0.2788,round_level_sweep_long_rr2.5_sl0.8_h24,1,0,3,1,13,4,-3.2846,1.0
17,-5.9368,0.5646294422199732,0.2353,-0.3492,round_level_sweep_short_rr2.0_sl1.0_h24,1,0,3,0,15,4,-1.156,1.0
17,-5.9434,0.5619416846015507,0.2353,-0.3496,round_level_sweep_short_rr2.0_sl0.8_h12,1,0,3,0,15,4,-1.195,1.0
17,-6.4209,0.5428370036525194,0.2353,-0.3777,round_level_sweep_short_rr2.0_sl0.8_h24,1,0,3,0,15,4,-1.195,1.0
17,-7.5548,0.43000709209156346,0.2353,-0.4444,round_level_sweep_short_rr1.5_sl1.0_h12,1,0,3,0,15,4,-1.156,1.0
17,-7.9368,0.41796101553218634,0.2353,-0.4669,round_level_sweep_short_rr1.5_sl1.0_h24,1,0,3,0,15,4,-1.156,1.0
17,-7.9434,0.4145316784103305,0.2353,-0.4673,round_level_sweep_short_rr1.5_sl0.8_h12,1,0,3,0,15,4,-1.195,1.0
17,-8.1697,0.34666965221076873,0.2353,-0.4806,round_level_sweep_short_rr2.5_sl1.0_h6,1,0,3,0,15,4,-1.156,1.0
17,-8.4209,0.4004385871229112,0.2353,-0.4953,round_level_sweep_short_rr1.5_sl0.8_h24,1,0,3,0,15,4,-1.195,1.0
17,-8.6697,0.30668468655785425,0.2353,-0.51,round_level_sweep_short_rr2.0_sl1.0_h6,1,0,3,0,15,4,-1.156,1.0
17,-8.856,0.35119928497120834,0.2353,-0.5209,round_level_sweep_short_rr2.5_sl0.8_h6,1,0,3,0,15,4,-1.195,1.0
17,-9.0247,0.278295360944285,0.2353,-0.5309,round_level_sweep_short_rr1.5_sl1.0_h6,1,0,3,0,15,4,-1.156,1.0
17,-9.0498,0.33700127474395225,0.2353,-0.5323,round_level_sweep_short_rr2.0_sl0.8_h6,1,0,3,0,15,4,-1.195,1.0
17,-10.0498,0.2637401280604844,0.2353,-0.5912,round_level_sweep_short_rr1.5_sl0.8_h6,1,0,3,0,15,4,-1.195,1.0
