trades,net_r,pf,win_rate,avg_r,tag,year
4,0.4461,1.2169641554399107,0.5,0.1115,round_level_sweep_long_rr1.5_sl0.8_h12,2024
8,-4.3778,0.3255792457480897,0.25,-0.5472,round_level_sweep_long_rr1.5_sl0.8_h12,2025
8,3.9452,2.244346317615518,0.625,0.4931,round_level_sweep_long_rr1.5_sl0.8_h12,2026
4,0.4461,1.2169641554399107,0.5,0.1115,round_level_sweep_long_rr1.5_sl0.8_h24,2024
8,-6.0825,0.19267065741097145,0.125,-0.7603,round_level_sweep_long_rr1.5_sl0.8_h24,2025
8,3.9452,2.244346317615518,0.625,0.4931,round_level_sweep_long_rr1.5_sl0.8_h24,2026
4,0.4461,1.2169641554399107,0.5,0.1115,round_level_sweep_long_rr1.5_sl0.8_h6,2024
8,-4.6429,0.2847393394133596,0.25,-0.5804,round_level_sweep_long_rr1.5_sl0.8_h6,2025
8,3.9452,2.244346317615518,0.625,0.4931,round_level_sweep_long_rr1.5_sl0.8_h6,2026
4,2.4012,3.332847566307199,0.75,0.6003,round_level_sweep_long_rr1.5_sl1.0_h12,2024
8,-5.0239,0.21414381579564828,0.25,-0.628,round_level_sweep_long_rr1.5_sl1.0_h12,2025
8,4.0563,2.2932980487182757,0.625,0.507,round_level_sweep_long_rr1.5_sl1.0_h12,2026
3,3.061,inf,1.0,1.0203,round_level_sweep_long_rr1.5_sl1.0_h24,2024
8,-5.4402,0.14902469927575904,0.25,-0.68,round_level_sweep_long_rr1.5_sl1.0_h24,2025
8,4.0563,2.2932980487182757,0.625,0.507,round_level_sweep_long_rr1.5_sl1.0_h24,2026
4,2.2444,3.180511026911493,0.75,0.5611,round_level_sweep_long_rr1.5_sl1.0_h6,2024
8,-4.043,0.26779796077295037,0.25,-0.5054,round_level_sweep_long_rr1.5_sl1.0_h6,2025
8,4.0563,2.2932980487182757,0.625,0.507,round_level_sweep_long_rr1.5_sl1.0_h6,2026
4,1.4461,1.7033218228685378,0.5,0.3615,round_level_sweep_long_rr2.0_sl0.8_h12,2024
8,-4.7799,0.2636338427409416,0.25,-0.5975,round_level_sweep_long_rr2.0_sl0.8_h12,2025
8,6.4452,3.032865478631131,0.625,0.8056,round_level_sweep_long_rr2.0_sl0.8_h12,2026
4,1.4461,1.7033218228685378,0.5,0.3615,round_level_sweep_long_rr2.0_sl0.8_h24,2024
8,-6.4679,0.14151657132238754,0.125,-0.8085,round_level_sweep_long_rr2.0_sl0.8_h24,2025
8,6.4452,3.032865478631131,0.625,0.8056,round_level_sweep_long_rr2.0_sl0.8_h24,2026
4,1.4461,1.7033218228685378,0.5,0.3615,round_level_sweep_long_rr2.0_sl0.8_h6,2024
8,-4.6429,0.2847393394133596,0.25,-0.5804,round_level_sweep_long_rr2.0_sl0.8_h6,2025
8,6.4452,3.032865478631131,0.625,0.8056,round_level_sweep_long_rr2.0_sl0.8_h6,2026
4,-2.5988,0.24180184385575912,0.25,-0.6497,round_level_sweep_long_rr2.0_sl1.0_h12,2024
8,-5.0239,0.21414381579564828,0.25,-0.628,round_level_sweep_long_rr2.0_sl1.0_h12,2025
8,3.5563,1.839799749687109,0.5,0.4445,round_level_sweep_long_rr2.0_sl1.0_h12,2026
3,-1.939,0.19151065337947715,0.3333,-0.6463,round_level_sweep_long_rr2.0_sl1.0_h24,2024
8,-5.4402,0.14902469927575904,0.25,-0.68,round_level_sweep_long_rr2.0_sl1.0_h24,2025
8,3.5563,1.839799749687109,0.5,0.4445,round_level_sweep_long_rr2.0_sl1.0_h24,2026
4,-2.2158,0.2327030957822564,0.25,-0.5539,round_level_sweep_long_rr2.0_sl1.0_h6,2024
8,-4.043,0.26779796077295037,0.25,-0.5054,round_level_sweep_long_rr2.0_sl1.0_h6,2025
8,2.1522,1.5082296266559614,0.5,0.269,round_level_sweep_long_rr2.0_sl1.0_h6,2026
4,-4.5539,0.0,0.0,-1.1385,round_level_sweep_long_rr2.5_sl0.8_h12,2024
8,-4.7799,0.2636338427409416,0.25,-0.5975,round_level_sweep_long_rr2.5_sl0.8_h12,2025
8,5.4452,2.268272231797643,0.5,0.6806,round_level_sweep_long_rr2.5_sl0.8_h12,2026
4,-4.5539,0.0,0.0,-1.1385,round_level_sweep_long_rr2.5_sl0.8_h24,2024
8,-6.4679,0.14151657132238754,0.125,-0.8085,round_level_sweep_long_rr2.5_sl0.8_h24,2025
8,5.4452,2.268272231797643,0.5,0.6806,round_level_sweep_long_rr2.5_sl0.8_h24,2026
4,-4.5539,0.0,0.0,-1.1385,round_level_sweep_long_rr2.5_sl0.8_h6,2024
8,-4.6429,0.2847393394133596,0.25,-0.5804,round_level_sweep_long_rr2.5_sl0.8_h6,2025
8,3.6902,1.8595052871849815,0.5,0.4613,round_level_sweep_long_rr2.5_sl0.8_h6,2026
4,-2.5988,0.24180184385575912,0.25,-0.6497,round_level_sweep_long_rr2.5_sl1.0_h12,2024
8,-5.0239,0.21414381579564828,0.25,-0.628,round_level_sweep_long_rr2.5_sl1.0_h12,2025
8,3.5335,1.8344156610857911,0.5,0.4417,round_level_sweep_long_rr2.5_sl1.0_h12,2026
3,-1.939,0.19151065337947715,0.3333,-0.6463,round_level_sweep_long_rr2.5_sl1.0_h24,2024
8,-5.4402,0.14902469927575904,0.25,-0.68,round_level_sweep_long_rr2.5_sl1.0_h24,2025
8,2.0563,1.3880763206069413,0.375,0.257,round_level_sweep_long_rr2.5_sl1.0_h24,2026
4,-2.2158,0.2327030957822564,0.25,-0.5539,round_level_sweep_long_rr2.5_sl1.0_h6,2024
8,-4.043,0.26779796077295037,0.25,-0.5054,round_level_sweep_long_rr2.5_sl1.0_h6,2025
8,1.766,1.4170307223652208,0.5,0.2208,round_level_sweep_long_rr2.5_sl1.0_h6,2026
4,-2.0867,0.4031007751937985,0.25,-0.5217,round_level_sweep_short_rr1.5_sl0.8_h12,2024
7,-4.4347,0.23324169649186507,0.1429,-0.6335,round_level_sweep_short_rr1.5_sl0.8_h12,2025
6,-1.422,0.6683768656716418,0.3333,-0.237,round_level_sweep_short_rr1.5_sl0.8_h12,2026
4,-2.0867,0.4031007751937985,0.25,-0.5217,round_level_sweep_short_rr1.5_sl0.8_h24,2024
7,-4.9122,0.21545390659937394,0.1429,-0.7017,round_level_sweep_short_rr1.5_sl0.8_h24,2025
6,-1.422,0.6683768656716418,0.3333,-0.237,round_level_sweep_short_rr1.5_sl0.8_h24,2026
4,-3.2582,0.06799393575331103,0.25,-0.8145,round_level_sweep_short_rr1.5_sl0.8_h6,2024
7,-4.5169,0.2299732351386829,0.1429,-0.6453,round_level_sweep_short_rr1.5_sl0.8_h6,2025
6,-2.2747,0.4695195895522388,0.3333,-0.3791,round_level_sweep_short_rr1.5_sl0.8_h6,2026
4,-1.9694,0.42020196072658755,0.25,-0.4924,round_level_sweep_short_rr1.5_sl1.0_h12,2024
7,-4.2478,0.24510396303536522,0.1429,-0.6068,round_level_sweep_short_rr1.5_sl1.0_h12,2025
6,-1.3376,0.6838198794468738,0.3333,-0.2229,round_level_sweep_short_rr1.5_sl1.0_h12,2026
4,-1.9694,0.42020196072658755,0.25,-0.4924,round_level_sweep_short_rr1.5_sl1.0_h24,2024
7,-4.6298,0.2295223830920286,0.1429,-0.6614,round_level_sweep_short_rr1.5_sl1.0_h24,2025
6,-1.3376,0.6838198794468738,0.3333,-0.2229,round_level_sweep_short_rr1.5_sl1.0_h24,2026
4,-3.2066,0.05596608472929608,0.25,-0.8016,round_level_sweep_short_rr1.5_sl1.0_h6,2024
7,-3.4983,0.2827678113787801,0.1429,-0.4998,round_level_sweep_short_rr1.5_sl1.0_h6,2025
6,-2.3198,0.45164874128353616,0.3333,-0.3866,round_level_sweep_short_rr1.5_sl1.0_h6,2026
4,-1.5867,0.5461254612546126,0.25,-0.3967,round_level_sweep_short_rr2.0_sl0.8_h12,2024
7,-3.9347,0.31969154693362384,0.1429,-0.5621,round_level_sweep_short_rr2.0_sl0.8_h12,2025
6,-0.422,0.9015858208955223,0.3333,-0.0703,round_level_sweep_short_rr2.0_sl0.8_h12,2026
4,-1.5867,0.5461254612546126,0.25,-0.3967,round_level_sweep_short_rr2.0_sl0.8_h24,2024
7,-4.4122,0.29531080304095064,0.1429,-0.6303,round_level_sweep_short_rr2.0_sl0.8_h24,2025
6,-0.422,0.9015858208955223,0.3333,-0.0703,round_level_sweep_short_rr2.0_sl0.8_h24,2026
4,-3.2582,0.06799393575331103,0.25,-0.8145,round_level_sweep_short_rr2.0_sl0.8_h6,2024
7,-4.0169,0.31521164697659354,0.1429,-0.5738,round_level_sweep_short_rr2.0_sl0.8_h6,2025
6,-1.7747,0.5861240671641791,0.3333,-0.2958,round_level_sweep_short_rr2.0_sl0.8_h6,2026
4,-1.4694,0.5674036564901228,0.25,-0.3674,round_level_sweep_short_rr2.0_sl1.0_h12,2024
