symbol,setup,tp_rr,sl_atr,max_hold,trades,net_r,pf,win_rate,folds_positive,min_fold_trades,preflight_go,preflight_reasons
XAUUSD,round_level_sweep,1.5,0.8,6,37,-10.301,0.594,0.351,1,9,False,low_quality_pf_0.59<0.80
XAUUSD,round_level_sweep,1.5,0.8,12,37,-7.93,0.686,0.351,1,9,False,low_quality_pf_0.69<0.80
XAUUSD,round_level_sweep,1.5,0.8,24,37,-10.112,0.623,0.324,1,9,False,low_quality_pf_0.62<0.80
XAUUSD,round_level_sweep,1.5,1.0,6,37,-6.767,0.695,0.378,2,9,False,low_quality_pf_0.70<0.80
XAUUSD,round_level_sweep,1.5,1.0,12,37,-6.121,0.743,0.378,2,9,False,low_quality_pf_0.74<0.80
XAUUSD,round_level_sweep,1.5,1.0,24,36,-6.26,0.73,0.389,2,9,False,low_quality_pf_0.73<0.80
XAUUSD,round_level_sweep,2.0,0.8,6,37,-5.801,0.771,0.351,1,9,False,low_quality_pf_0.77<0.80
XAUUSD,round_level_sweep,2.0,0.8,12,37,-2.832,0.888,0.351,2,9,True,ready_for_gate
XAUUSD,round_level_sweep,2.0,0.8,24,37,-4.998,0.814,0.324,2,9,True,ready_for_gate
XAUUSD,round_level_sweep,2.0,1.0,6,37,-12.776,0.492,0.297,0,9,False,low_quality_pf_0.49<0.80
XAUUSD,round_level_sweep,2.0,1.0,12,37,-9.621,0.648,0.297,1,9,False,low_quality_pf_0.65<0.80
XAUUSD,round_level_sweep,2.0,1.0,24,36,-9.76,0.634,0.306,0,9,False,low_quality_pf_0.63<0.80
XAUUSD,round_level_sweep,2.5,0.8,6,37,-14.363,0.505,0.27,0,9,False,low_quality_pf_0.50<0.80
XAUUSD,round_level_sweep,2.5,0.8,12,37,-7.832,0.729,0.27,1,9,False,low_quality_pf_0.73<0.80
XAUUSD,round_level_sweep,2.5,0.8,24,37,-9.998,0.671,0.243,1,9,False,low_quality_pf_0.67<0.80
XAUUSD,round_level_sweep,2.5,1.0,6,37,-12.662,0.496,0.297,0,9,False,low_quality_pf_0.50<0.80
XAUUSD,round_level_sweep,2.5,1.0,12,37,-8.426,0.691,0.297,1,9,False,low_quality_pf_0.69<0.80
XAUUSD,round_level_sweep,2.5,1.0,24,36,-10.011,0.639,0.278,1,9,False,low_quality_pf_0.64<0.80
