entry_ts,exit_ts,r,side,symbol,setup,tp_rr,sl_atr,max_hold
1707897600.0,1707901200.0,1.2122,long,XAUUSD,round_level_sweep,1.5,0.8,6
1715821200.0,1715842800.0,0.2377,short,XAUUSD,round_level_sweep,1.5,0.8,6
1717729200.0,1717732800.0,-1.135,short,XAUUSD,round_level_sweep,1.5,0.8,6
1722859200.0,1722862800.0,-1.0195,long,XAUUSD,round_level_sweep,1.5,0.8,6
1722945600.0,1722949200.0,-1.0366,long,XAUUSD,round_level_sweep,1.5,0.8,6
1726218000.0,1726228800.0,-1.195,short,XAUUSD,round_level_sweep,1.5,0.8,6
1726567200.0,1726570800.0,1.29,long,XAUUSD,round_level_sweep,1.5,0.8,6
1729083600.0,1729087200.0,-1.1659,short,XAUUSD,round_level_sweep,1.5,0.8,6
1740499200.0,1740524400.0,1.2381,long,XAUUSD,round_level_sweep,1.5,0.8,6
1741892400.0,1741903200.0,-1.1221,short,XAUUSD,round_level_sweep,1.5,0.8,6
1744639200.0,1744642800.0,-1.047,long,XAUUSD,round_level_sweep,1.5,0.8,6
1746536400.0,1746547200.0,-1.0752,short,XAUUSD,round_level_sweep,1.5,0.8,6
1749434400.0,1749456000.0,0.6102,long,XAUUSD,round_level_sweep,1.5,0.8,6
1750129200.0,1750150800.0,-1.1028,long,XAUUSD,round_level_sweep,1.5,0.8,6
1751004000.0,1751007600.0,-1.1389,long,XAUUSD,round_level_sweep,1.5,0.8,6
1754053200.0,1754074800.0,-0.3536,short,XAUUSD,round_level_sweep,1.5,0.8,6
1756843200.0,1756857600.0,-1.1047,short,XAUUSD,round_level_sweep,1.5,0.8,6
1759212000.0,1759215600.0,1.349,short,XAUUSD,round_level_sweep,1.5,0.8,6
1759284000.0,1759302000.0,-1.1111,short,XAUUSD,round_level_sweep,1.5,0.8,6
1762210800.0,1762214400.0,-1.0879,long,XAUUSD,round_level_sweep,1.5,0.8,6
1763532000.0,1763542800.0,-1.0992,short,XAUUSD,round_level_sweep,1.5,0.8,6
1764666000.0,1764669600.0,-1.05,long,XAUUSD,round_level_sweep,1.5,0.8,6
1765814400.0,1765818000.0,-1.0646,long,XAUUSD,round_level_sweep,1.5,0.8,6
1767722400.0,1767747600.0,1.4027,short,XAUUSD,round_level_sweep,1.5,0.8,6
1769461200.0,1769468400.0,1.4441,long,XAUUSD,round_level_sweep,1.5,0.8,6
1769529600.0,1769544000.0,-1.0817,short,XAUUSD,round_level_sweep,1.5,0.8,6
1769994000.0,1770001200.0,-1.0136,long,XAUUSD,round_level_sweep,1.5,0.8,6
1770181200.0,1770202800.0,0.6106,short,XAUUSD,round_level_sweep,1.5,0.8,6
1770220800.0,1770238800.0,1.4608,long,XAUUSD,round_level_sweep,1.5,0.8,6
1774980000.0,1774994400.0,-1.0578,short,XAUUSD,round_level_sweep,1.5,0.8,6
1776128400.0,1776146400.0,-1.0856,short,XAUUSD,round_level_sweep,1.5,0.8,6
1776963600.0,1776970800.0,-1.0761,long,XAUUSD,round_level_sweep,1.5,0.8,6
