tag,market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,symbol,trades,net_r,pf,win_rate
bos_long_rr1.5_sl0.8_h6_b0.1_cd0,fx,bos,long,1.5,0.8,6,0.1,0,XAUUSD,854,-160.9104,0.7136597875311435,0.3817
bos_long_rr1.5_sl0.8_h6_b0.1_cd5,fx,bos,long,1.5,0.8,6,0.1,5,XAUUSD,505,-88.4463,0.7322818081132448,0.3901
bos_long_rr1.5_sl0.8_h6_b0.1_cd10,fx,bos,long,1.5,0.8,6,0.1,10,XAUUSD,402,-71.2976,0.7296121453362783,0.3905
bos_long_rr1.5_sl0.8_h6_b0.1_cd20,fx,bos,long,1.5,0.8,6,0.1,20,XAUUSD,314,-56.8201,0.7254324841503015,0.3854
bos_long_rr1.5_sl0.8_h6_b0.2_cd0,fx,bos,long,1.5,0.8,6,0.2,0,XAUUSD,793,-137.3322,0.7344771789952443,0.3922
bos_long_rr1.5_sl0.8_h6_b0.2_cd5,fx,bos,long,1.5,0.8,6,0.2,5,XAUUSD,462,-67.1307,0.7734418425233044,0.4069
bos_long_rr1.5_sl0.8_h6_b0.2_cd10,fx,bos,long,1.5,0.8,6,0.2,10,XAUUSD,376,-60.5909,0.7512164918145734,0.4043
bos_long_rr1.5_sl0.8_h6_b0.2_cd20,fx,bos,long,1.5,0.8,6,0.2,20,XAUUSD,302,-44.7028,0.7698570783564397,0.4007
bos_long_rr1.5_sl0.8_h12_b0.1_cd0,fx,bos,long,1.5,0.8,12,0.1,0,XAUUSD,831,-152.0828,0.734653157164512,0.3755
bos_long_rr1.5_sl0.8_h12_b0.1_cd5,fx,bos,long,1.5,0.8,12,0.1,5,XAUUSD,497,-87.8046,0.7427347620084271,0.3763
bos_long_rr1.5_sl0.8_h12_b0.1_cd10,fx,bos,long,1.5,0.8,12,0.1,10,XAUUSD,400,-70.8278,0.7422998641420026,0.38
bos_long_rr1.5_sl0.8_h12_b0.1_cd20,fx,bos,long,1.5,0.8,12,0.1,20,XAUUSD,312,-59.0506,0.7263387368332268,0.3718
bos_long_rr1.5_sl0.8_h12_b0.2_cd0,fx,bos,long,1.5,0.8,12,0.2,0,XAUUSD,771,-121.2572,0.7682467825484994,0.3865
bos_long_rr1.5_sl0.8_h12_b0.2_cd5,fx,bos,long,1.5,0.8,12,0.2,5,XAUUSD,455,-64.978,0.7884201912873194,0.3912
bos_long_rr1.5_sl0.8_h12_b0.2_cd10,fx,bos,long,1.5,0.8,12,0.2,10,XAUUSD,373,-58.1675,0.7704886273154341,0.3887
bos_long_rr1.5_sl0.8_h12_b0.2_cd20,fx,bos,long,1.5,0.8,12,0.2,20,XAUUSD,300,-45.492,0.7758660359593808,0.3867
bos_long_rr1.5_sl1.0_h6_b0.1_cd0,fx,bos,long,1.5,1.0,6,0.1,0,XAUUSD,766,-115.6749,0.7472317841201331,0.3995
bos_long_rr1.5_sl1.0_h6_b0.1_cd5,fx,bos,long,1.5,1.0,6,0.1,5,XAUUSD,477,-62.6756,0.7759274566052413,0.413
bos_long_rr1.5_sl1.0_h6_b0.1_cd10,fx,bos,long,1.5,1.0,6,0.1,10,XAUUSD,395,-67.7604,0.7146138654894136,0.3975
bos_long_rr1.5_sl1.0_h6_b0.1_cd20,fx,bos,long,1.5,1.0,6,0.1,20,XAUUSD,308,-36.8872,0.7940139449016675,0.4123
