trial,lookbacks,rebalance_days,basket_k,target_annual_vol,n_rebalances,compounded_total_return_pct,annualized_return_pct,annualized_sharpe,max_drawdown_pct,positive_time_folds,fold_returns_pct
1,"[7,14,21,30,45]",2,3,0.1,176,32.62840304112855,34.01880180063035,2.565755290768334,5.573301780843421,3,"[16.225844192688, -3.355072336070819, 16.640644884886257, 1.228978312652429]"
2,"[7,14,21,30,45]",2,3,0.15,176,47.44125113999833,49.57066137747405,2.519309541407267,8.281682878818211,3,"[21.290369894428586, -5.034704893388864, 25.806627939959803, 1.7476161620752384]"
3,"[7,14,21,30,45]",2,5,0.1,176,29.91548326726836,31.17727876738141,2.6959897211201205,5.177823017253662,3,"[12.791300948454044, -1.4263457612521568, 13.08953126717367, 3.3241988657088495]"
4,"[7,14,21,30,45]",2,5,0.15,176,45.19752796055203,47.21113833336883,2.6430883181368747,7.685840486427469,3,"[17.739859332656117, -2.1832715649470313, 20.132239985826693, 4.945301944177172]"
5,"[7,14,21,30,45]",3,3,0.1,117,30.56940346297774,31.965946025021186,2.422717167257575,7.606558414347911,3,"[12.886017236775093, -1.6134701424302733, 14.409304638595977, 2.7553114676422075]"
6,"[7,14,21,30,45]",3,3,0.15,117,47.76609899780464,50.08540992067721,2.592237628557331,8.147888201222852,3,"[19.072430898507807, -2.4449445765244326, 22.231378527614744, 4.071328488217718]"
7,"[7,14,21,30,45]",3,5,0.1,117,30.825853940344427,32.2354881920196,2.658468827055015,5.85841186091831,4,"[11.981769020224986, 0.9420733034427808, 10.725213957213487, 4.526763986035998]"
8,"[7,14,21,30,45]",3,5,0.15,117,49.07015782326805,51.46300890052178,2.7654790793589545,6.885592938342477,4,"[18.31607597586682, 1.3751029603653375, 16.396426916406902, 6.776577567844533]"
9,"[7,14,21,30,45]",5,3,0.1,69,18.94537305614763,20.147718081474466,1.7965595903625347,7.430918576880403,2,"[12.586076136695269, -2.952543956589826, 12.043898142431587, -2.839329334879692]"
10,"[7,14,21,30,45]",5,3,0.15,69,29.682313554187424,31.6511209798511,2.0137739126571064,7.430918576880403,2,"[19.61606706647703, -4.433099447474831, 18.48217266298238, -4.251777489217822]"
11,"[7,14,21,30,45]",5,5,0.1,69,18.42541528604491,19.59212771271124,1.8112828902653613,7.671904504175312,3,"[8.992746698964815, -0.9795323668736811, 9.334922406076052, 0.3606452864295395]"
12,"[7,14,21,30,45]",5,5,0.15,69,31.341639125712373,33.43394954854442,2.1139618260316024,7.671904504175312,3,"[16.164894572182554, -1.5019376271324436, 14.228507079395914, 0.4905773240714506]"
13,"[7,14,30]",2,3,0.1,183,58.82034763857851,58.61973442852408,2.082865422466377,10.842006252660592,3,"[35.20342202372153, 2.7223777657766624, 15.302506831698558, -0.8221600598727674]"
14,"[7,14,30]",2,3,0.15,183,76.2261350192318,75.95353365235829,2.2635195751922645,11.219824804784231,3,"[38.98221590914079, 4.049974133893763, 23.552810245985878, -1.368308748374647]"
15,"[7,14,30]",2,5,0.1,183,50.39000489990899,50.22242508226624,2.3801549304603515,9.439422556894616,4,"[28.16455875340087, 2.8846927978438686, 11.642507351043797, 2.1575996640428086]"
16,"[7,14,30]",2,5,0.15,183,68.61254064720465,68.37203257096351,2.6262036556273034,10.086112775762349,4,"[33.01595225409295, 4.310442324634134, 17.78408198072947, 3.1743534715055866]"
17,"[7,14,30]",3,3,0.1,122,67.14307735920508,66.90865704473023,2.6060168409201916,6.461934577800223,4,"[39.166547247304216, 3.7322317103065883, 14.438984620169638, 1.1732786823725583]"
18,"[7,14,30]",3,3,0.15,122,87.75013974075196,87.42727103380813,2.8659277716435962,6.461934577800223,4,"[43.042589268413735, 5.565180794956781, 22.274600326785922, 1.685249435757119]"
19,"[7,14,30]",3,5,0.1,122,57.240145846276725,57.04581923419385,2.7766962516852396,4.519615224717169,4,"[31.556052164816805, 4.514723737111592, 10.214136128624807, 3.7618790109584355]"
20,"[7,14,30]",3,5,0.15,122,77.6965347363769,77.41763091831169,3.049886263369161,5.745566813247425,4,"[36.30993245385867, 6.772167862826106, 15.600646848739629, 5.6168307228599]"
21,"[7,14,30]",5,3,0.1,72,41.18769634946171,41.86568652868632,1.8492499109139875,4.798893583357796,3,"[26.096545203350253, 2.9281008665679176, 11.149553310706061, -2.1294603540868873]"
22,"[7,14,30]",5,3,0.15,72,52.40351723978556,53.29803465527729,2.106784601861473,4.871455789933022,3,"[28.84949677093187, 4.3617627960136796, 17.089608109773422, -3.2050935243041367]"
23,"[7,14,30]",5,5,0.1,72,36.18750652281759,36.77297263238919,1.7487781253034334,7.098022007747128,4,"[21.104175242215838, 2.7033911674719358, 7.989263096717991, 1.394124736990654]"
24,"[7,14,30]",5,5,0.15,72,47.62494223859199,48.42572588187386,2.032417155399756,7.454505253097405,4,"[23.997138440664223, 4.040966670016366, 12.146785614543788, 2.036809131607953]"
25,"[5,10,21,45,60]",2,3,0.1,168,18.252469736627397,19.97601569407388,1.520188973496791,9.092741688835137,3,"[3.324852530200073, -3.024258170063776, 14.622610908370115, 2.9608261248844414]"
26,"[5,10,21,45,60]",2,3,0.15,168,34.103774863661386,37.54359620198338,1.8806967174236644,9.092741688835137,3,"[9.876911103314367, -4.529679475139369, 22.509526009271053, 4.35092924310434]"
27,"[5,10,21,45,60]",2,5,0.1,168,24.14160918456385,26.480430217685512,2.0888120251126194,6.927196204581433,3,"[5.808540241679849, -1.8514224988531058, 13.7083908293002, 5.128416926478518]"
28,"[5,10,21,45,60]",2,5,0.15,168,42.44729311516122,46.86422632757914,2.3724980165408307,7.562860217326901,3,"[12.42364568635066, -2.7975531394469177, 21.062246795163354, 7.6739410185378]"
29,"[5,10,21,45,60]",3,3,0.1,112,17.72495218376713,19.394728187036804,1.370143347804197,11.862551003364818,2,"[-0.027518119575009603, -1.9023318071379913, 15.084127306412064, 4.307115556381214]"
30,"[5,10,21,45,60]",3,3,0.15,112,35.526528733717065,39.129514790869905,1.916270035519714,11.862551003364818,3,"[6.33490283596978, -2.86819934687067, 23.312614586355963, 6.409286269030634]"
31,"[5,10,21,45,60]",3,5,0.1,112,24.779183965643913,27.186238541788367,2.045495213178966,9.803440354406234,4,"[3.5238154747577743, 0.08662241196364384, 12.448126887720857, 7.09608918818494]"
32,"[5,10,21,45,60]",3,5,0.15,112,46.209415642955335,51.08254241457353,2.552467688014046,9.803440354406234,4,"[10.77939890549089, 0.09234179330395165, 19.11597607075668, 10.69945250494182]"
33,"[5,10,21,45,60]",5,3,0.1,66,9.823097445105056,10.919955230683499,1.0062064656404859,9.494238950403211,2,"[4.784826458163005, -3.585441719012439, 11.263213221102909, -2.298534961229648]"
34,"[5,10,21,45,60]",5,3,0.15,66,19.277155064379635,21.52817683630328,1.388535258030444,9.494238950403211,2,"[11.332374831108272, -5.359238514014997, 17.25136918758361, -3.452807357546972]"
35,"[5,10,21,45,60]",5,5,0.1,66,17.020804254174514,18.987982816893645,1.7301848177521282,8.034705717731871,3,"[7.091025105368365, -1.2844356573325721, 9.120999738295543, 1.4415867712350483]"
36,"[5,10,21,45,60]",5,5,0.15,66,29.299081994666267,32.87134206652915,2.0459692031668184,8.034705717731871,3,"[13.38369205102643, -1.9553416771598164, 13.896359212981713, 2.1200615209190143]"
