symbol,first_ts,last_ts,h1_bars,coverage_frac,src_files,status
1000BONKUSDT,1672999200000,1786381200000,31496,1.0000,1,OK
1000PEPEUSDT,1721005200000,1783202400000,17278,1.0000,30,OK
1000RATSUSDT,1700647200000,1786381200000,23816,1.0000,1,OK
AAVEUSDT,1672534800000,1786381200000,31625,1.0000,1,OK
ACEUSDT,1702893600000,1786381200000,23192,1.0000,1,OK
ACTUSDT,1731319200000,1786381200000,15296,1.0000,1,OK
ADAUSDT,1721005200000,1783202400000,17278,1.0000,52,OK
AEROUSDT,1721037600000,1786381200000,18152,1.0000,1,OK
AKEUSDT,1758895200000,1786381200000,7636,1.0000,1,OK
ALGOUSDT,1672534800000,1786381200000,31625,1.0000,1,OK
ALLOUSDT,1763125200000,1786381200000,6461,1.0000,1,OK
APTUSDT,1672534800000,1786381200000,31625,1.0000,1,OK
ARBUSDT,1679583600000,1786381200000,29667,1.0000,1,OK
ASTERUSDT,1758276000000,1786381200000,7808,1.0000,1,OK
ATOMUSDT,1751158800000,1783116000000,8878,1.0000,7,OK
AVAXUSDT,1721005200000,1783202400000,17278,1.0000,9,OK
BANANAS31USDT,1743156000000,1786381200000,12008,1.0000,1,OK
BANKUSDT,1746698400000,1786381200000,11024,1.0000,1,OK
BCHUSDT,1751158800000,1783116000000,8878,1.0000,4,OK
BEATUSDT,1763726400000,1786381200000,6294,1.0000,1,OK
BICOUSDT,1672534800000,1786381200000,31625,1.0000,1,OK
BIOUSDT,1735117200000,1786381200000,14241,1.0000,1,OK
BLESSUSDT,1758711600000,1786381200000,7687,1.0000,1,OK
BLUAIUSDT,1761310800000,1786381200000,6965,1.0000,1,OK
BMTUSDT,1741856400000,1786381200000,12369,1.0000,1,OK
BNBUSDT,1721005200000,1783202400000,17278,1.0000,7,OK
BOMEUSDT,1710500400000,1786381200000,21079,1.0000,1,OK
BROCCOLIUSDT,1739538000000,1786381200000,13013,1.0000,1,OK
BTCUSDT,1672534800000,1786417200000,31635,1.0000,54,OK
BTRUSDT,1756296000000,1786420800000,8369,1.0000,1,OK
BZUSDT,1778662800000,1786381200000,2145,1.0000,1,OK
C98USDT,1672534800000,1786381200000,31625,1.0000,1,OK
CBRSUSDT,1779184800000,1786381200000,2000,1.0000,1,OK
CCUSDT,1761922800000,1786420800000,6806,1.0000,1,OK
CLUSDT,1774342800000,1786381200000,3345,1.0000,1,OK
COAIUSDT,1759395600000,1786381200000,7497,1.0000,1,OK
COOKIEUSDT,1736240400000,1786381200000,13929,1.0000,1,OK
COTIUSDT,1672534800000,1786381200000,31625,1.0000,1,OK
CRCLUSDT,1778058000000,1786381200000,2313,1.0000,1,OK
CRVUSDT,1672534800000,1786381200000,31625,1.0000,1,OK
CYSUSDT,1765540800000,1786381200000,5790,1.0000,1,OK
