ts,o,h,l,c,v
1614124800,1805.9550000000,1806.6235000000,1805.6900000000,1805.9085000000,0.26
1614125100,1805.8985000000,1806.1650000000,1805.2700000000,1805.8400000000,0.33
1614125400,1805.9125000000,1806.9115000000,1805.8765000000,1806.7815000000,0.24
1614125700,1806.7765000000,1807.4150000000,1806.5865000000,1807.3415000000,0.31
1614126000,1807.3660000000,1807.4765000000,1806.1800000000,1806.3400000000,0.17
1614126300,1806.3200000000,1806.6400000000,1806.2050000000,1806.2650000000,0.11
1614126600,1806.2800000000,1807.3635000000,1806.1865000000,1807.3635000000,0.20
1614126900,1807.3790000000,1807.4680000000,1806.7885000000,1807.1935000000,0.22
1614127200,1807.2175000000,1807.5335000000,1806.8685000000,1807.2085000000,0.22
1614127500,1807.2680000000,1807.5135000000,1806.8285000000,1806.9085000000,0.17
1614127800,1806.8985000000,1807.8235000000,1806.4135000000,1807.6985000000,0.30
1614128100,1807.7035000000,1808.1530000000,1807.3865000000,1807.4215000000,0.23
1614128400,1807.4065000000,1809.7250000000,1807.2115000000,1809.7000000000,0.91
1614128700,1809.6800000000,1810.2585000000,1808.6635000000,1809.7585000000,0.80
1614129000,1809.7685000000,1810.0950000000,1809.0050000000,1809.9250000000,0.50
1614129300,1809.9750000000,1811.1435000000,1809.3050000000,1810.2210000000,0.37
1614129600,1810.2230000000,1810.9950000000,1808.5550000000,1808.7400000000,1.05
1614129900,1808.7500000000,1810.5300000000,1808.7500000000,1809.9565000000,0.57
1614130200,1809.9615000000,1810.1980000000,1809.2315000000,1810.1470000000,0.48
1614130500,1810.1425000000,1810.4835000000,1809.5080000000,1810.4435000000,0.30
1614130800,1810.4385000000,1810.6215000000,1810.0965000000,1810.2015000000,0.28
1614131100,1810.2115000000,1811.1885000000,1810.0565000000,1811.1265000000,0.42
1614131400,1811.1295000000,1813.6885000000,1811.1265000000,1812.2995000000,0.82
1614131700,1812.3155000000,1812.7235000000,1811.8865000000,1811.9495000000,0.54
1614132000,1811.9630000000,1812.5950000000,1811.2930000000,1811.8450000000,0.48
1614132300,1811.8550000000,1812.8585000000,1811.8000000000,1811.9915000000,0.49
1614132600,1811.9965000000,1812.0175000000,1810.9265000000,1810.9415000000,0.30
1614132900,1810.9500000000,1811.1820000000,1810.5750000000,1810.6415000000,0.14
1614133200,1810.6515000000,1811.8975000000,1810.6515000000,1811.8675000000,0.27
1614133500,1811.8775000000,1812.9700000000,1811.6625000000,1812.8200000000,0.36
1614133800,1812.8100000000,1813.9430000000,1812.4115000000,1812.5350000000,0.79
1614134100,1812.5450000000,1812.6100000000,1812.1365000000,1812.4350000000,0.44
1614134400,1812.4500000000,1812.4500000000,1811.5015000000,1811.9715000000,0.54
