ts,o,h,l,c,v
1720396800,2386.1450000000,2386.2465000000,2384.6315000000,2384.7135000000,0.34
1720397100,2384.6985000000,2385.9700000000,2384.6735000000,2385.7300000000,0.20
1720397400,2385.7045000000,2385.9835000000,2385.3500000000,2385.7500000000,0.14
1720397700,2385.7800000000,2386.7465000000,2385.7685000000,2386.7385000000,0.25
1720398000,2386.7435000000,2387.0185000000,2386.0800000000,2386.4200000000,0.16
1720398300,2386.4050000000,2386.9335000000,2386.1500000000,2386.7485000000,0.15
1720398600,2386.7500000000,2386.9835000000,2386.4585000000,2386.6185000000,0.16
1720398900,2386.5800000000,2387.2900000000,2386.4630000000,2387.2850000000,0.18
1720399200,2387.3000000000,2387.8535000000,2387.2235000000,2387.7285000000,0.25
1720399500,2387.7950000000,2387.8465000000,2387.0100000000,2387.0465000000,0.18
1720399800,2387.0365000000,2387.4335000000,2386.3785000000,2387.1685000000,0.26
1720400100,2387.1900000000,2387.3985000000,2386.5900000000,2386.7820000000,0.27
1720400400,2386.7300000000,2386.8900000000,2385.2105000000,2385.4500000000,0.53
1720400700,2385.4215000000,2388.2800000000,2384.3315000000,2388.1285000000,0.41
1720401000,2388.1335000000,2390.4585000000,2387.9135000000,2389.9100000000,0.44
1720401300,2389.8200000000,2391.1350000000,2389.3200000000,2389.5300000000,0.51
1720401600,2389.5030000000,2389.5765000000,2388.0265000000,2388.6315000000,0.38
1720401900,2388.6100000000,2389.4000000000,2387.6135000000,2388.8700000000,0.31
1720402200,2388.8500000000,2388.8500000000,2387.4300000000,2388.2300000000,0.32
1720402500,2388.3235000000,2388.9235000000,2387.4565000000,2387.5965000000,0.37
1720402800,2387.6015000000,2387.6100000000,2385.7900000000,2386.0435000000,0.33
1720403100,2386.0385000000,2386.0400000000,2384.4765000000,2385.7935000000,0.41
1720403400,2385.7885000000,2386.6395000000,2385.4415000000,2385.4750000000,0.36
1720403700,2385.4650000000,2386.8135000000,2385.3485000000,2386.5485000000,0.29
1720404000,2386.5345000000,2386.5345000000,2385.3315000000,2385.9865000000,0.28
1720404300,2385.9700000000,2386.5900000000,2385.3200000000,2386.3900000000,0.23
