strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason,signal_ts,signal_entry_price,initial_sl,tp_prices,signal_reason,initial_notional,initial_risk_usd
alt_trendline_touch_v1,BTCUSDT,short,1709762400000,1709910600000,66456.70600000,68828.22680256,0.00031990,-0.78462237,-0.007846,0.02596680,sl,att1_short_trendline tf=60 tl=67526.2461 slope=-0.672%/d rsi=47.9  r2=0.997 pivots=3 age=3 entrydist=0.902 touchdist=0.495 reject=0.902 body=0.765 atrpct=1.762 anchors=1709712000000:67764.5|1709726400000:67700|1709748000000:67579.6+SL,1709762400000,66470.00000000,68814.46390977,63656.6433083|60608.8402256,att1_short_trendline tf=60 tl=67526.2461 slope=-0.672%/d rsi=47.9  r2=0.997 pivots=3 age=3 entrydist=0.902 touchdist=0.495 reject=0.902 body=0.765 atrpct=1.762 anchors=1709712000000:67764.5|1709726400000:67700|1709748000000:67579.6,21.25967019,0.75425278
alt_trendline_touch_v1,SUIUSDT,short,1709967600000,1709973300000,1.53589276,1.55849164,19.52870720,-0.47758443,-0.004814,0.03625760,sl,att1_short_trendline tf=60 tl=1.5419 slope=-3.593%/d rsi=61.7  r2=0.929 pivots=3 age=7 entrydist=0.385 touchdist=-0.419 reject=0.385 body=0.815 atrpct=0.963 anchors=1709852400000:1.6198|1709874000000:1.5906|1709938800000:1.5602+SL,1709967600000,1.53620000,1.55818000,1.509824|1.48125,att1_short_trendline tf=60 tl=1.5419 slope=-3.593%/d rsi=61.7  r2=0.929 pivots=3 age=7 entrydist=0.385 touchdist=-0.419 reject=0.385 body=0.815 atrpct=0.963 anchors=1709852400000:1.6198|1709874000000:1.5906|1709938800000:1.5602,29.99400000,0.43524098
alt_trendline_touch_v1,BTCUSDT,short,1710230400000,1710232500000,72174.06230000,71736.42431073,0.00041558,0.14598933,0.001479,0.03588368,sl,att1_short_trendline tf=60 tl=72271.2333 slope=-1.889%/d rsi=45.1  r2=0.895 pivots=3 age=6 entrydist=0.143 touchdist=-0.280 reject=0.143 body=0.436 atrpct=0.800 anchors=1710183600000:72919.6|1710194400000:72850|1710205200000:72578.6+TRAIL_SL,1710230400000,72188.50000000,72906.61690476,71326.7597143|70393.2077381,att1_short_trendline tf=60 tl=72271.2333 slope=-1.889%/d rsi=45.1  r2=0.895 pivots=3 age=6 entrydist=0.143 touchdist=-0.280 reject=0.143 body=0.436 atrpct=0.800 anchors=1710183600000:72919.6|1710194400000:72850|1710205200000:72578.6,29.99400000,0.30443406
alt_trendline_touch_v1,LINKUSDT,short,1710291600000,1710408000000,20.53789160,21.03483524,1.46042255,-0.76217595,-0.007708,0.03642825,sl,att1_short_trendline tf=60 tl=20.6317 slope=-3.217%/d rsi=49.4  r2=0.997 pivots=3 age=4 entrydist=0.247 touchdist=-0.373 reject=0.247 body=0.753 atrpct=1.765 anchors=1710212400000:21.215|1710252000000:20.893|1710273600000:20.751+SL,1710291600000,20.54200000,21.03062912,19.9556450609|19.3204272101,att1_short_trendline tf=60 tl=20.6317 slope=-3.217%/d rsi=49.4  r2=0.997 pivots=3 age=4 entrydist=0.247 touchdist=-0.373 reject=0.247 body=0.753 atrpct=1.765 anchors=1710212400000:21.215|1710252000000:20.893|1710273600000:20.751,29.99400000,0.71960498
alt_trendline_touch_v1,LTCUSDT,short,1710385200000,1710423900000,96.45070600,93.93711430,0.31097751,0.74614668,0.007547,0.03552380,sl,att1_short_trendline tf=60 tl=97.3847 slope=-1.886%/d rsi=45.5  r2=0.823 pivots=3 age=3 entrydist=0.725 touchdist=0.360 reject=0.725 body=0.425 atrpct=1.308 anchors=1710295200000:98.92|1710320400000:99.1|1710370800000:97.47+TP1+TRAIL_SL,1710385200000,96.47000000,98.77305102,93.7063387755|90.712372449,att1_short_trendline tf=60 tl=97.3847 slope=-1.886%/d rsi=45.5  r2=0.823 pivots=3 age=3 entrydist=0.725 touchdist=0.360 reject=0.725 body=0.425 atrpct=1.308 anchors=1710295200000:98.92|1710320400000:99.1|1710370800000:97.47,29.99400000,0.72219706
alt_trendline_touch_v1,ETHUSDT,short,1710392400000,1710424500000,3958.54813200,3876.30982024,0.00757702,0.58750244,0.005944,0.03561893,sl,att1_short_trendline tf=60 tl=3992.6246 slope=-2.904%/d rsi=47.7  r2=0.985 pivots=3 age=4 entrydist=0.906 touchdist=-0.512 reject=0.906 body=0.546 atrpct=0.928 anchors=1710316800000:4089.84|1710360000000:4025.41|1710374400000:4015.95+TP1+TRAIL_SL,1710392400000,3959.34000000,4033.03075824,3870.91109011|3775.1131044,att1_short_trendline tf=60 tl=3992.6246 slope=-2.904%/d rsi=47.7  r2=0.985 pivots=3 age=4 entrydist=0.906 touchdist=-0.512 reject=0.906 body=0.546 atrpct=0.928 anchors=1710316800000:4089.84|1710360000000:4025.41|1710374400000:4015.95,29.99400000,0.56435638
alt_trendline_touch_v1,LINKUSDT,short,1710590400000,1710598200000,19.32013520,18.83727136,1.30189206,0.59883050,0.006023,0.02980609,sl,att1_short_trendline tf=60 tl=19.6396 slope=-2.031%/d rsi=49.9  r2=0.873 pivots=3 age=3 entrydist=1.350 touchdist=0.443 reject=1.350 body=0.367 atrpct=1.210 anchors=1710529200000:19.876|1710550800000:19.85|1710576000000:19.667+TRAIL_SL,1710590400000,19.32400000,19.89673909,18.6367130934|17.8921522778,att1_short_trendline tf=60 tl=19.6396 slope=-2.031%/d rsi=49.9  r2=0.873 pivots=3 age=3 entrydist=1.350 touchdist=0.443 reject=1.350 body=0.367 atrpct=1.210 anchors=1710529200000:19.876|1710550800000:19.85|1710576000000:19.667,25.15273060,0.75067602
alt_trendline_touch_v1,BTCUSDT,short,1710586800000,1710612900000,68455.40618000,66953.30906812,0.00043815,0.62255173,0.006260,0.03559791,sl,att1_short_trendline tf=60 tl=69183.2119 slope=-3.433%/d rsi=56.8  r2=0.986 pivots=3 age=3 entrydist=1.236 touchdist=0.247 reject=1.236 body=0.696 atrpct=0.844 anchors=1710529200000:70700|1710547200000:70081.3|1710572400000:69511+TP1+TRAIL_SL,1710586800000,68469.10000000,69818.51692661,66849.7996881|65095.5576835,att1_short_trendline tf=60 tl=69183.2119 slope=-3.433%/d rsi=56.8  r2=0.986 pivots=3 age=3 entrydist=1.236 touchdist=0.247 reject=1.236 body=0.696 atrpct=0.844 anchors=1710529200000:70700|1710547200000:70081.3|1710572400000:69511,29.99400000,0.59725223
alt_trendline_touch_v1,ETHUSDT,short,1710586800000,1710612900000,3703.53914400,3620.48713869,0.00809874,0.63702735,0.006406,0.03558923,sl,att1_short_trendline tf=60 tl=3729.5817 slope=-3.651%/d rsi=64.3  r2=0.986 pivots=3 age=3 entrydist=0.738 touchdist=0.118 reject=0.738 body=0.644 atrpct=0.926 anchors=1710529200000:3811.79|1710550800000:3784.93|1710572400000:3744.17+TP1+TRAIL_SL,1710586800000,3704.28000000,3767.31245238,3628.64105714|3546.69886905,att1_short_trendline tf=60 tl=3729.5817 slope=-3.651%/d rsi=64.3  r2=0.986 pivots=3 age=3 entrydist=0.738 touchdist=0.118 reject=0.738 body=0.644 atrpct=0.926 anchors=1710529200000:3811.79|1710550800000:3784.93|1710572400000:3744.17,29.99400000,0.51648343
alt_trendline_touch_v1,LTCUSDT,short,1710745200000,1710756000000,85.93281000,84.31368759,0.34904014,0.52948500,0.005226,0.03565372,sl,att1_short_trendline tf=60 tl=86.9350 slope=0.290%/d rsi=49.6  r2=0.902 pivots=3 age=8 entrydist=0.977 touchdist=0.471 reject=0.977 body=0.907 atrpct=1.173 anchors=1710676800000:86.74|1710698400000:86.83|1710712800000:86.84+TRAIL_SL,1710745200000,85.95000000,88.04364286,83.4376285714|80.7158928571,att1_short_trendline tf=60 tl=86.9350 slope=0.290%/d rsi=49.6  r2=0.902 pivots=3 age=8 entrydist=0.977 touchdist=0.471 reject=0.977 body=0.907 atrpct=1.173 anchors=1710676800000:86.74|1710698400000:86.83|1710712800000:86.84,29.99400000,0.73676540
