side,price,born_ts,max_size,dist_bps,fate,life_ms,eaten_frac,fwd_bps,fwd_10s,fwd_30s,fwd_60s,fwd_300s,fwd_900s
1,1882.99,1786492803343,74.58,8.158579397328566,ушла,1,0.0,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
1,1883.7,1786492803343,66.99,11.932254558307896,ушла,2,0.0,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
1,1883.74,1786492803344,103.42,12.144855975827653,ушла,1,0.0,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
-1,1880.42,1786492803343,123.62,5.501061678327967,ушла,2,0.011,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
1,1883.61,1786492803343,57.03,11.453901368887232,ушла,3,0.0,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
1,1883.63,1786492803343,81.49,11.56020207764832,ушла,3,0.0,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
-1,1879.62,1786492803343,57.69,9.75309002872796,ушла,3,0.0,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
1,1883.56,1786492803343,73.44,11.188149596987534,ушла,3,0.0,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
-1,1880.42,1786492803346,56.28,4.704181405990861,ушла,1,0.0,4.41183114912258,3.667666858909735,3.98659441185778,4.41183114912258,4.464985741279293,0.21261836863240013
1,1883.56,1786492803498,73.44,11.98636053165281,ушла,304,0.0,-4.41183114912258,-3.667666858909735,-3.98659441185778,-4.41183114912258,-4.464985741279293,-0.6910096980539127
