event_id,ts_utc,country,currency,instrument_scope,title,impact,source,blackout_before_min,blackout_after_min,notes
fomc_2026_mar19,1773946800,US,USD,CRYPTO,FOMC Rate Decision,high,manual,20,45,2026-03-19 19:00 UTC
fomc_2026_may07,1778176800,US,USD,CRYPTO,FOMC Rate Decision,high,manual,20,45,2026-05-07 18:00 UTC
fomc_2026_jun18,1781805600,US,USD,CRYPTO,FOMC Rate Decision,high,manual,20,45,2026-06-18 18:00 UTC
fomc_2026_jul30,1785434400,US,USD,CRYPTO,FOMC Rate Decision,high,manual,20,45,2026-07-30 18:00 UTC
nfp_2026_apr03,1775223000,US,USD,CRYPTO,US NFP,high,manual,20,30,2026-04-03 13:30 UTC
nfp_2026_may01,1777642200,US,USD,CRYPTO,US NFP,high,manual,20,30,2026-05-01 13:30 UTC
nfp_2026_jun05,1780666200,US,USD,CRYPTO,US NFP,high,manual,20,30,2026-06-05 13:30 UTC
nfp_2026_jul02,1782999000,US,USD,CRYPTO,US NFP,high,manual,20,30,2026-07-02 13:30 UTC
cpi_2026_mar12,1773322200,US,USD,CRYPTO,US CPI,high,manual,20,30,2026-03-12 13:30 UTC
cpi_2026_apr10,1775827800,US,USD,CRYPTO,US CPI,high,manual,20,30,2026-04-10 13:30 UTC
cpi_2026_may12,1778592600,US,USD,CRYPTO,US CPI,high,manual,20,30,2026-05-12 13:30 UTC
cpi_2026_jun11,1781184600,US,USD,CRYPTO,US CPI,high,manual,20,30,2026-06-11 13:30 UTC
cpi_2026_jul14,1784035800,US,USD,CRYPTO,US CPI,high,manual,20,30,2026-07-14 13:30 UTC
ppi_2026_apr11,1775914200,US,USD,CRYPTO,US PPI,medium,manual,10,20,2026-04-11 13:30 UTC
ppi_2026_may13,1778679000,US,USD,CRYPTO,US PPI,medium,manual,10,20,2026-05-13 13:30 UTC
